configuration,analysis_period,n_origins,n_hours_per_target,P_RMSE_kW,P_MAE_kW,Q_RMSE_kVAr,Q_MAE_kVAr,fixed_scale_paired_RMSE,P_CRPS,P_Pinball_mean,P_Coverage80,P_Width80,P_IntervalScore80,P_Coverage95,P_Width95,P_IntervalScore95,Q_CRPS,Q_Pinball_mean,Q_Coverage80,Q_Width80,Q_IntervalScore80,Q_Coverage95,Q_Width95,Q_IntervalScore95,paired_normalized_CRPS
S24-T10,descriptive_stress_5,5,120,172.6934238649897,126.23918192030975,124.33724267364774,91.25393289638824,0.7202453378802789,98.55097830731142,51.40979474679625,0.7083333333333333,328.6981633177929,694.6474947224726,0.825,498.7194679209415,1278.613494328938,68.63315817399557,35.973892722574,0.725,282.5807305055644,440.62409959054855,0.95,471.99720087341757,576.5343669409482,0.4059693828699796
S24-T30,descriptive_stress_5,5,120,162.71342751748168,117.83958367012752,137.3801663233596,95.55143257782787,0.7226356262024428,89.96178808113238,47.05834090608022,0.7,321.36729731581715,627.0642561176974,0.8333333333333333,497.33134642159496,944.3085117953672,72.00164529450703,37.669444837187896,0.7416666666666666,274.0181234055933,478.0991413060847,0.9416666666666667,489.5335282345962,650.0659304172784,0.3909315855650145
S24-T60,descriptive_stress_5,5,120,172.29512676182725,124.46104603714866,140.30528340369406,94.25087437313813,0.7539517823545767,100.7987692921379,52.665365065197854,0.65,300.4482350774249,709.859584217192,0.8166666666666667,475.4330670105437,1265.3712447311136,73.66215082042204,38.58278578626619,0.6916666666666667,262.2668933253923,495.4077917838957,0.9416666666666667,473.80085491440616,745.2589229229881,0.4227650379345508
S36-T60,descriptive_stress_5,5,120,169.97047612890177,125.35549502524854,140.64907548684062,93.76107288368163,0.7486462117713492,99.50932031087632,51.93938066398264,0.6333333333333333,301.942487092616,677.9617303118562,0.8333333333333334,465.7434467683288,1203.358657723075,73.65292753482609,38.5541866400854,0.7,257.3338419437917,504.02003051078043,0.9333333333333333,457.3331576645413,777.6874422691278,0.4193871272791936
S48-T60,descriptive_stress_5,5,120,176.1006392671353,129.31451876497002,140.89839487726198,96.84570401130098,0.7651521891725945,104.58069352682287,54.620951414687816,0.6583333333333333,293.9270586225842,743.787859271537,0.7916666666666666,476.4209821966738,1314.5722723894892,74.68963372364853,39.150855626582334,0.6666666666666667,261.2919031656395,520.3284268519258,0.95,474.47601273131903,697.2319667201436,0.43484913453500357
SNaive-24,descriptive_stress_5,5,120,214.34596917133754,159.48,194.74622910341552,123.77749999999999,0.9819099166464257,119.04407785916821,62.42556962719298,0.6833333333333333,497.6500000000001,821.525,0.8916666666666666,826.4374999999998,1037.3374999999994,95.23541857359695,49.83946227310688,0.9083333333333332,544.511190229402,658.036190229402,0.9833333333333332,862.5222584733216,916.6222584733216,0.5172171145324681
SNaive-168,descriptive_stress_5,5,120,414.46449556425614,353.37916666666666,214.41725463062278,155.28916666666663,1.545837447634479,327.71652075456836,170.29408442982455,0.25,481.1041666666667,2558.295833333333,0.4,786.575,5110.141666666664,115.70581891337096,60.483627731014096,0.725,400.1697708666828,760.1802291333175,0.9166666666666666,636.2843416452373,1246.5843416452367,1.1051591208895855
