configuration,analysis_period,n_origins,n_hours_per_target,P_RMSE_kW,P_MAE_kW,Q_RMSE_kVAr,Q_MAE_kVAr,fixed_scale_paired_RMSE,P_CRPS,P_Pinball_mean,P_Coverage80,P_Width80,P_IntervalScore80,P_Coverage95,P_Width95,P_IntervalScore95,Q_CRPS,Q_Pinball_mean,Q_Coverage80,Q_Width80,Q_IntervalScore80,Q_Coverage95,Q_Width95,Q_IntervalScore95,paired_normalized_CRPS
S24-T10,primary_54,54,1296,125.69654608720326,92.40657758277418,126.4963173010319,92.83001603950663,0.6025589606764095,67.10866273231044,35.13433327831298,0.83179012345679,328.6981633177929,439.9512910975299,0.9498456790123456,498.71946792094144,609.1382474641526,66.73440742640672,34.95949603297987,0.8009259259259259,282.5807305055644,426.83936448165184,0.9359567901234568,471.9972008734176,617.8691711376797,0.3199593863036676
S24-T30,primary_54,54,1296,127.30812477698444,90.13893749987486,121.24224632627426,89.52844635843239,0.5953237243838865,67.02731004254497,35.06667983375811,0.8356481481481481,321.3672973158172,440.921780384146,0.9583333333333334,497.3313464215949,650.4788161941061,64.37619510518455,33.72586066239388,0.8070987654320988,274.0181234055933,402.7586932566829,0.9591049382716049,489.5335282345962,588.893778210987,0.3146164815211837
S24-T60,primary_54,54,1296,120.10416498700393,86.12439653487193,116.34334466365993,83.43885842394108,0.5659048101243958,63.96702136254909,33.473110905941084,0.8433641975308641,300.4482350774249,416.3500070733334,0.9575617283950618,475.43306701054365,631.131845157872,60.33628957391829,31.599473639285186,0.8109567901234568,262.2668933253923,391.58080894257984,0.9637345679012346,473.80085491440616,587.34881068786,0.2978570880595567
S36-T60,primary_54,54,1296,118.04449036801546,84.70193870884346,115.24116118584148,83.49303151280213,0.5581430728403853,62.690409670970666,32.75682425378139,0.8348765432098766,301.942487092616,409.6119247025853,0.9529320987654322,465.7434467683288,621.1120586055428,60.1755932435744,31.50305346396992,0.8194444444444444,257.3338419437917,385.5491978054649,0.9483024691358025,457.3331576645414,585.7819350636883,0.2941830281869022
S48-T60,primary_54,54,1296,119.1479951564857,85.82792815618241,115.13090680658563,82.94294362751205,0.5607768055366436,63.32834390210936,33.11250608401136,0.8371913580246914,293.9270586225841,413.8923881123229,0.95679012345679,476.42098219667383,631.1120658222461,60.69392125963535,31.79436030157332,0.8063271604938271,261.2919031656395,392.99194349398203,0.9629629629629629,474.47601273131903,574.2273042396863,0.2969720574786671
SNaive-24,primary_54,54,1296,185.79679638267095,133.62285945824632,172.03741031185194,114.71401238207375,0.8581548813768249,96.83976568197906,50.579247519249705,0.8665123456790123,497.65000000000003,653.5490745038426,0.966820987654321,826.4374999999999,1047.9046646967442,86.36500783253331,45.11012021381671,0.9282407407407407,544.511190229402,605.3855091347513,0.9876543209876544,862.5222584733216,890.9574436585068,0.44009461373747794
SNaive-168,primary_54,54,1296,264.99758085159675,208.90945251174537,149.89838525220907,101.37566361664165,1.016230304421315,163.57073181755183,85.61584878727055,0.6064814814814815,481.1041666666667,1099.2510640843716,0.8140432098765432,786.575,1652.1028445605548,77.4019127498108,40.429249749955765,0.8641975308641975,400.1697708666829,559.7385012004831,0.9513888888888888,636.2843416452373,821.6354465993825,0.5943660005893618
