n_hours,n_days,RMSE,MAE,MAPE%,SMAPE%,WMAPE%,Bias_y_minus_pred,CRPS,Pinball_mean,Coverage80,Width80,IntervalScore80,Coverage95,Width95,IntervalScore95,model_id,target,start,end
1416,59,168.8542339471222,126.70442725389843,6.197477602409059,6.041097347449671,5.864756114823469,-17.411068591256626,99.12603682943919,51.79767330346609,0.7521186440677966,377.1424617880265,661.4427313821983,0.903954802259887,600.8654904457659,1074.2488691940482,LagDrop_LGBM,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,180.1763386931998,137.17614786816026,6.699811006190247,6.684993555553587,6.3494596791444655,33.20602206759198,101.74207317057014,53.10589520008914,0.7662429378531074,385.4170658913387,680.2712740824525,0.9060734463276836,591.7992862511678,1182.7902524724454,SFS_LGBM,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,173.08098286660973,131.30151974888125,6.424030756634827,6.419291137401004,6.0775413102952385,30.515652766253083,98.31979522484804,51.356534170315946,0.7747175141242938,393.7440881558706,642.5110536324884,0.9159604519774012,607.954304913318,1084.6742517450912,SFS_LGBM_1,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,176.25412564123636,136.15084959723927,6.664978698439934,6.645557460092134,6.302001792831999,30.781488292707543,99.47721216876823,51.919507011213874,0.7492937853107344,377.75291598874054,664.3011761572691,0.9081920903954802,575.7131430166614,1147.7484272447894,SFS_LGBM_2,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,177.2069730935891,136.94907475758714,6.683868507242997,6.679486238119006,6.338949167060487,34.95269373517881,99.49679624506463,51.91224672241998,0.7620056497175142,381.392723266825,658.9567995320268,0.9067796610169492,577.0736699574248,1149.6319939973441,SFS_shared_LGBM,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,253.82148032783164,202.38647780352903,9.79387143298958,9.327630872896158,9.367844194404904,-88.35640446164541,154.4642874148617,80.73564462640617,0.6002824858757062,442.55704991131745,1055.6897088726519,0.7838983050847458,689.2462877802654,1720.5604064501276,mi_top_k_nolags_LGBM,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,136.02676438849525,98.42569408185707,4.627746994404802,4.513095772504696,4.555821005887975,-24.945411441266828,73.07152322821975,38.20196214413869,0.827683615819209,344.5562541364166,470.66149024582813,0.9427966101694916,520.7069636567271,697.2214457590208,mutual_lags_LGBM_0,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,127.92970510848242,93.85443211063,4.435264094824052,4.356256176783756,4.344231425482141,-13.340140120686371,69.29238429562496,36.2564009813383,0.826271186440678,336.67137049012183,453.9711792452303,0.9548022598870056,511.8264342855597,636.57018859354,mutual_lags_LGBM_1,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,145.68272546867578,105.47057662876601,5.0140349106185935,4.905942583523132,4.881906833279031,-12.382327055145895,79.5775474533843,41.63466500769195,0.7860169491525424,340.3172981666193,529.3859339424749,0.9265536723163842,537.8309721635117,801.2632679212272,mutual_lags_LGBM_2,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,136.79133790417643,99.14254983878793,4.689807569649634,4.5903615293372075,4.589002042060311,-14.969947324333532,73.36842487202131,38.379898906255214,0.8255649717514124,350.6178691585571,479.0129027460084,0.9470338983050848,543.0753950400299,722.1245456744307,own_lags_LGBM_0,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,136.54388231687878,100.13434739387507,4.732453340741181,4.651951451289127,4.634909283834968,-9.295729814803863,73.75417183311362,38.56236387360894,0.8319209039548022,353.5425914091174,485.9554105950041,0.9498587570621468,531.2925461923999,711.8957838126431,own_lags_LGBM_1,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,137.2502524184391,100.60713806700953,4.771753571227331,4.6694392913585,4.656793302029064,-18.306042022187064,74.78787353363778,39.08149672560696,0.818502824858757,344.47113924480993,489.4621758515551,0.9442090395480226,555.2592753349863,756.8194863625173,own_lags_LGBM_2,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,280.76725552433567,221.1526486265692,10.690793026342687,10.243901276148264,10.236472209002242,-66.31737288135594,177.48139189696,92.79197045189377,0.576271186440678,481.1041666666667,1222.8989258851313,0.778954802259887,786.5749999999999,1945.156982027174,seasonal_naive_lag168,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,188.38408511657994,135.8141425550051,6.375367565516036,6.229650711128265,6.28641666508512,-12.315042372881358,98.7214870529273,51.583173121617776,0.8509887005649718,497.65000000000003,667.7843224272457,0.96045197740113,826.4375,1047.0091422648168,seasonal_naive_lag24,P_Power,2022-01-01,2022-02-28 23:00:00
1416,59,133.8829087759532,102.97904603612218,16.19192298501629,15.068076746435095,15.085616009722232,-30.737665143956914,74.77192775415736,39.196597742772916,0.7471751412429378,301.74692456221413,467.71065703730903,0.9350282485875706,515.5801369480122,663.9491161227328,LagDrop_LGBM,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,150.97304223854937,117.02421913221276,19.28288527210581,17.10179257634376,17.14312281594553,-61.74329201114855,95.35697241995545,49.90716494606434,0.6405367231638418,322.22001415704295,626.7180264310103,0.8573446327683616,502.4223777389486,911.3220253609572,SFS_LGBM,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,152.45976690589254,118.22085415916948,19.480789761501303,17.242019624056436,17.31842038584262,-63.06638572360625,95.10962469602268,49.84856878263365,0.6468926553672316,321.783439804828,624.3455427229303,0.8524011299435028,498.82833761221667,927.2051781541915,SFS_LGBM_1,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,153.6787145878553,118.23725114498514,19.425906205128328,17.12970362220243,17.320822414616952,-64.9566846986393,95.49521430243567,50.00888507738946,0.6129943502824858,308.9038976961914,666.7759837822946,0.8418079096045198,495.6631430849485,982.5639230966763,SFS_LGBM_2,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,150.97304223854937,117.02421913221276,19.28288527210581,17.10179257634376,17.14312281594553,-61.74329201114855,95.35697241995545,49.90716494606434,0.6405367231638418,322.22001415704295,626.7180264310103,0.8573446327683616,502.4223777389486,911.3220253609572,SFS_shared_LGBM,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,182.658220353444,137.78809207294438,21.42903480484364,19.50217332368377,20.184866026002698,-31.725327630252007,98.73514084333317,51.769495098133646,0.7761299435028248,458.5200524804218,608.4205885170146,0.972457627118644,766.8702665176894,821.7725847481364,mi_top_k_nolags_LGBM,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,125.06000229980744,92.20793750629981,14.145344846298496,13.263484924973918,13.507733775088328,-17.8339169760426,66.07746341680335,34.58151581055929,0.8022598870056498,291.1367036077792,427.2824000478313,0.9378531073446328,480.3507092120231,636.3830597351745,mutual_lags_LGBM_0,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,125.52720457421863,90.94549747560467,13.845900416129226,12.975557031549634,13.322796292450466,-18.551824196572657,65.8476216913257,34.483422803341014,0.7959039548022598,278.30511690801586,423.62071670647316,0.9533898305084746,483.1997206042921,629.1456006290808,mutual_lags_LGBM_1,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,129.2030113847815,89.76696365405927,13.692334790486688,12.673492264172893,13.15015040602355,-18.200735324009404,65.8707067988116,34.50357235292423,0.8008474576271186,286.72058162939794,434.3643340372384,0.9703389830508474,525.6292378590006,614.0744187277884,mutual_lags_LGBM_2,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,120.63232023993682,87.51038782757546,13.29954292103665,12.595223388603285,12.819579889734097,-13.906487788260774,63.07887700677872,33.02533260221665,0.8220338983050848,283.029209398995,408.69126085969003,0.96045197740113,489.07235943395096,595.2586730533199,own_lags_LGBM_0,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,120.93432121727787,86.68181823215907,13.047613726998947,12.261935634600606,12.698200995338455,-19.221358514615975,63.54103053713264,33.282427104356586,0.8022598870056498,276.562629042741,424.31100394209835,0.9625706214689266,502.3171158884517,589.1088670861213,own_lags_LGBM_1,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,124.85743911923238,87.74881365533666,13.330503389635576,12.520309628406965,12.854507388316131,-13.328047234124513,64.56582230965846,33.80922444277494,0.8192090395480226,287.3946593741022,431.7499095370309,0.9625706214689266,505.5043222885292,613.8455747477929,own_lags_LGBM_2,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,156.4017097571447,105.94460455308446,15.66968654984662,15.28024077959346,15.520046884383484,5.854025423728816,80.64800649248538,42.128773307672574,0.8524011299435028,400.16977086668277,576.7250883134351,0.9484463276836158,636.2843416452373,857.6480648236075,seasonal_naive_lag168,Q_Power,2022-01-01,2022-02-28 23:00:00
1416,59,174.07681327494572,115.48210455308445,16.845924883957764,15.967672755806408,16.91721522329252,-0.623305084745762,87.11673755635226,45.51091191375656,0.9265536723163842,544.511190229402,609.8474312614165,0.9872881355932204,862.5222584733215,893.1324279648469,seasonal_naive_lag24,Q_Power,2022-01-01,2022-02-28 23:00:00
