model_id,target,date,SE,AE,CRPS,PB,RMSE,MAE,MAPE%,SMAPE%,WMAPE%,Bias_y_minus_pred,Coverage80,Coverage95
LagDrop_LGBM,P_Power,2022-01-01,25680.431175911468,129.74635965371917,82.00191958469145,42.98158561682342,160.25115031072778,129.74635965371917,7.050067371746809,7.4713697583772705,6.783768673727867,128.90544172572416,0.6666666666666666,0.9166666666666666
LagDrop_LGBM,P_Power,2022-01-02,9186.065292809208,84.09119611798978,49.94618177078497,26.022344841301376,95.84396325700021,84.09119611798978,4.511480014533612,4.659396385561881,4.2445112682115305,77.17363969856028,1.0,1.0
LagDrop_LGBM,P_Power,2022-01-03,10879.602930554596,82.16713599964363,70.93846995159868,37.167038614211016,104.30533510110878,82.16713599964363,4.334558301227559,4.21764350696438,4.0587387191406865,-27.28370549886202,0.7916666666666666,0.9583333333333334
LagDrop_LGBM,P_Power,2022-01-04,18673.393242734513,111.29297339615391,63.873446740331836,33.349672368049404,136.65062474330117,111.29297339615391,4.93595999343569,5.061672548393595,5.212358396672587,78.61643206101732,0.875,1.0
LagDrop_LGBM,P_Power,2022-01-05,5727.6243754965835,61.433880451512834,51.02811960267323,26.498421525237756,75.6810701265289,61.433880451512834,2.9659674761425228,3.0091980475759157,2.8795050569320346,26.35701110800045,1.0,1.0
LagDrop_LGBM,P_Power,2022-01-06,25905.161456102553,129.69418522093346,107.98398449952869,56.72013272269825,160.9508044593209,129.69418522093346,6.097765960606472,5.905383206738478,6.215872764003521,-59.498827445768285,0.7083333333333334,0.8333333333333334
LagDrop_LGBM,P_Power,2022-01-07,79557.94797809282,209.20387756324706,188.74429813528832,98.27642634461789,282.0601850281121,209.20387756324706,10.772110717770905,9.858626973290558,11.192161222086833,-209.20387756324706,0.5416666666666666,0.7083333333333334
LagDrop_LGBM,P_Power,2022-01-08,3983.7321727137546,49.484095573416994,50.27659441422403,26.138026223843337,63.11681370850207,49.484095573416994,2.5148402287253613,2.492759770046032,2.5190277283114924,-12.470189615996352,1.0,1.0
LagDrop_LGBM,P_Power,2022-01-09,51912.1594217323,187.41032385287443,104.25887255438211,54.88645312157583,227.84240040372708,187.41032385287443,8.075502352799617,8.55569284517378,8.829593236964202,183.23519383473376,0.625,1.0
LagDrop_LGBM,P_Power,2022-01-10,25624.3521618872,139.3828013015044,75.80011236180367,39.80881973144511,160.07608241672833,139.3828013015044,6.615491187975363,6.934111252368637,6.252592916808918,139.3828013015044,0.8333333333333334,1.0
LagDrop_LGBM,P_Power,2022-01-11,6626.039777200363,73.66609659200455,43.11234692646363,22.370043851617922,81.40049003046826,73.66609659200455,3.19861673094065,3.2606559126285766,3.0850064007539992,62.182932579292896,1.0,1.0
LagDrop_LGBM,P_Power,2022-01-12,5320.325515512984,51.21021530305799,46.35917309618876,24.00926777290412,72.94056152452477,51.21021530305799,2.208232087441646,2.261295387630151,2.024429247683509,49.20182153190013,0.9583333333333334,1.0
LagDrop_LGBM,P_Power,2022-01-13,49666.70102809146,205.93863056587307,104.37401373999076,54.97628334721244,222.86027243116138,205.93863056587307,7.667070858663211,8.006365460401986,7.907980149888327,205.93863056587307,0.7083333333333334,0.9583333333333334
LagDrop_LGBM,P_Power,2022-01-14,46362.032211738966,173.1971466295879,122.26744158260283,64.04976957164867,215.31844373332018,173.1971466295879,7.563431163592367,8.039561533528367,7.343591573717787,139.17137796126593,0.5833333333333334,0.7916666666666666
LagDrop_LGBM,P_Power,2022-01-15,39821.76962852924,153.46575266213696,102.97256263243224,53.56414904239034,199.55392661766703,153.46575266213696,7.613987065110868,7.350461529877444,7.314399395741894,-1.609736118131508,0.875,0.875
LagDrop_LGBM,P_Power,2022-01-16,8214.86171909629,79.7441223783892,59.512071298702175,31.081233865192996,90.63587434948863,79.7441223783892,3.8090103345533346,3.791591450772146,3.7705413846065086,-9.307748482132325,1.0,1.0
LagDrop_LGBM,P_Power,2022-01-17,16655.31191898864,95.26792135083564,54.73156846324424,28.56685889372749,129.05546063219734,95.26792135083564,3.7652546409847907,3.886442460763436,4.103722651339032,83.23756840026294,0.9583333333333334,1.0
LagDrop_LGBM,P_Power,2022-01-18,18629.855926222768,114.78145208134872,96.99737807050649,50.970659368972065,136.49123021726624,114.78145208134872,4.993301243522849,4.909083913747182,4.908835174893696,-52.91296789289432,0.75,0.9583333333333334
LagDrop_LGBM,P_Power,2022-01-19,19233.19999528472,121.11796238061423,97.98531766741037,51.43086903221473,138.68381302547434,121.11796238061423,5.301782644043942,5.200925062796463,5.263309499738795,-63.12686073100351,0.5833333333333334,0.9583333333333334
LagDrop_LGBM,P_Power,2022-01-20,27359.421438294885,153.17076020020812,133.18042948835702,70.12225136501444,165.40683612926912,153.17076020020812,6.8905557275701845,6.633510913513392,6.909192861703297,-147.0036251348327,0.4583333333333333,0.875
LagDrop_LGBM,P_Power,2022-01-21,23159.433416269934,138.4205292742581,118.81472810817452,62.552010529019185,152.18223751893626,138.4205292742581,6.184649752612025,5.973783677070647,6.223385004687441,-126.86460208561743,0.4583333333333333,0.9583333333333334
LagDrop_LGBM,P_Power,2022-01-22,9606.939772732432,76.45052166243488,72.71515316370646,38.11047936287133,98.01499769286552,76.45052166243488,3.4799802391291657,3.4015418749188315,3.6026093015690854,-58.19077529908261,0.9166666666666666,1.0
LagDrop_LGBM,P_Power,2022-01-23,6718.950222721585,70.26619960549577,62.90318129213282,32.87742789356554,81.96920289182752,70.26619960549577,3.275363542829779,3.2343357693938217,3.275813501421714,-38.86723735447966,0.9583333333333334,1.0
LagDrop_LGBM,P_Power,2022-01-24,6348.984816150859,57.98802884171886,49.87675421021667,25.947428451648964,79.680517167943,57.98802884171886,2.3756975591019023,2.3855045206089813,2.457093837638112,12.049562564237041,1.0,1.0
LagDrop_LGBM,P_Power,2022-01-25,35840.54659789049,177.77172230088465,93.52294972864478,49.26088009434883,189.31599667722347,177.77172230088465,7.1639886115973255,7.477040261720785,6.983284288091945,177.77172230088465,0.625,1.0
LagDrop_LGBM,P_Power,2022-01-26,50804.975625427185,192.57405493141655,119.75151491880193,62.55487862662502,225.39959100545676,192.57405493141655,8.064517830185208,8.575136921089289,7.761092782195305,183.81490560408133,0.6666666666666666,0.7916666666666666
LagDrop_LGBM,P_Power,2022-01-27,8607.25734098677,74.72885893973452,49.42943547093148,25.69014678131964,92.7753056636666,74.72885893973452,3.2693531157864575,3.354138140179347,3.144095377807747,61.45659327118506,1.0,1.0
LagDrop_LGBM,P_Power,2022-01-28,14100.239969299766,93.68428626721631,63.74839718788854,33.36722758871641,118.74443131911393,93.68428626721631,4.430741467238334,4.597970317969929,4.075998858668827,73.19180345158237,0.8333333333333334,1.0
LagDrop_LGBM,P_Power,2022-01-29,10294.76717783352,83.33651105196867,69.98346968159991,36.67425728960645,101.46313211129213,83.33651105196867,3.9526069179586094,3.9252417102883173,3.8958224064497715,-27.96377789766247,1.0,1.0
LagDrop_LGBM,P_Power,2022-01-30,10349.123245636423,72.73257603888442,56.996544036217394,29.688523402978465,101.730640643006,72.73257603888442,3.612025967371219,3.7544483045271027,3.386303379419352,70.40326328459781,0.875,1.0
LagDrop_LGBM,P_Power,2022-01-31,5561.562720954207,60.2791237462524,48.38965263398134,25.12889143903421,74.57588565316678,60.2791237462524,2.882549501365765,2.941199691423865,2.711230371180498,38.96444336270906,1.0,1.0
LagDrop_LGBM,P_Power,2022-02-01,25727.934062400975,145.87537606105153,77.55654082593178,40.74088419030986,160.39929570419247,145.87537606105153,6.526839242038407,6.821238232471923,6.163205748552481,144.60037267273225,0.75,1.0
LagDrop_LGBM,P_Power,2022-02-02,13998.132073698791,104.91590761353639,54.937201046429976,28.623550830817553,118.31370196937796,104.91590761353639,4.61641958401231,4.763074055672476,4.457015128339021,104.91590761353639,0.9583333333333334,1.0
LagDrop_LGBM,P_Power,2022-02-03,15087.266172098834,98.06152235438833,69.49935219137883,36.41119887047551,122.83023313540862,98.06152235438833,4.419189557004843,4.559426671112027,4.171122353265453,42.5170161770383,0.8333333333333334,1.0
LagDrop_LGBM,P_Power,2022-02-04,12994.483902410722,97.71873197585084,75.55009134864484,39.664110834944864,113.99335025522639,97.71873197585084,4.328490575760927,4.366914574405756,4.153670457564313,-8.928995462107537,0.9583333333333334,1.0
LagDrop_LGBM,P_Power,2022-02-05,19272.033951335732,126.32690453363095,65.5588661735837,34.31238682459022,138.8237513948378,126.32690453363095,5.882625411204464,6.101620619959335,5.706241064831134,113.35935926867562,0.8333333333333334,1.0
LagDrop_LGBM,P_Power,2022-02-06,11867.442111068764,84.32148759411865,59.15941243542582,30.879252009641558,108.9377900963149,84.32148759411865,4.154722020410005,4.311865830840986,3.9315069894274375,78.45852696848421,0.875,1.0
LagDrop_LGBM,P_Power,2022-02-07,12495.746972233954,97.72542539795468,80.55592859988171,42.264988185057646,111.78437713846222,97.72542539795468,4.619863093130533,4.5863233774493,4.520767238652666,-16.730042209414183,0.7916666666666666,1.0
LagDrop_LGBM,P_Power,2022-02-08,42279.90982657066,161.68847993923998,150.61695086212268,78.92500033957776,205.6207913285295,161.68847993923998,7.556867152352729,7.120356820870834,7.715893627574951,-161.68847993923998,0.5833333333333334,0.7083333333333334
LagDrop_LGBM,P_Power,2022-02-09,89685.5752606748,250.79545861694123,222.74949272557055,116.27274108948457,299.47550026784296,250.79545861694123,12.085759966441021,11.15847609347836,12.359707443036326,-250.79545861694123,0.25,0.5416666666666666
LagDrop_LGBM,P_Power,2022-02-10,33361.25272688925,145.86921514640463,132.20832724617284,69.48676956621775,182.6506302395074,145.86921514640463,6.901398299410001,6.554494898367672,6.936285410465095,-145.73154327444408,0.625,0.875
LagDrop_LGBM,P_Power,2022-02-11,17483.184773377758,122.99470573384353,107.5870596571729,56.61570703456807,132.22399469603752,122.99470573384353,6.068163594653533,5.8745544742943165,5.964211046817121,-105.50109723636452,0.6666666666666666,1.0
LagDrop_LGBM,P_Power,2022-02-12,65776.31282200693,234.82732831170256,204.51123746532303,107.53118372457341,256.4689314946489,234.82732831170256,11.872089971282822,11.107524254650688,11.924633120861364,-234.82732831170256,0.08333333333333333,0.5416666666666666
LagDrop_LGBM,P_Power,2022-02-13,9583.496747494444,78.23333274565435,76.52002743630995,40.09800507166136,97.89533567792924,78.23333274565435,3.7544779507014425,3.64950190192418,3.8029729175820752,-74.238885404724,0.9166666666666666,1.0
LagDrop_LGBM,P_Power,2022-02-14,4823.931526536996,50.14815657834574,54.17847369366703,28.214406497088948,69.45452848113646,50.14815657834574,2.259053717589435,2.253141124475445,2.229021605562569,-3.769917477007141,0.9166666666666666,1.0
LagDrop_LGBM,P_Power,2022-02-15,7065.581363532913,61.87699592792962,56.36634542017665,29.395530452494,84.05701257796945,61.87699592792962,2.6599103287724817,2.6290637877577026,2.699679688829342,-11.540977759566195,0.9583333333333334,0.9583333333333334
LagDrop_LGBM,P_Power,2022-02-16,13948.692229639832,87.4631417534592,54.218149978580975,28.28695738556114,118.1045817470255,87.4631417534592,3.6922478890548107,3.791159259383136,3.8415997344208197,67.10862725163821,1.0,1.0
LagDrop_LGBM,P_Power,2022-02-17,8769.777823674698,68.9054434364236,57.87948167653769,30.225341499223088,93.64709191253458,68.9054434364236,3.011794650181488,3.0244989594024863,3.1364316661909406,-2.8705174542494376,1.0,1.0
LagDrop_LGBM,P_Power,2022-02-18,12037.103526574152,80.76662466702132,53.368826362283215,27.792134989371593,109.71373444821825,80.76662466702132,3.537414696134642,3.615391916811624,3.589428350292598,52.71106753865366,0.9583333333333334,1.0
