statistic,p_value,n,mean_difference,standard_error,ci_low,ci_high,hac_lag,status,target,loss,model_a,model_b,p_holm,better_model
-0.9529924064340483,0.34454879043652886,59,-3951.7607030171794,4146.68645451653,-12252.255480291136,4348.734074256777,3,ok,P_Power,SE,LagDrop_LGBM,SFS_LGBM,1.0,
-0.38192852114810716,0.703910179030028,59,-1445.2743082021786,3784.1486775001,-9020.0708785592,6129.522262154842,3,ok,P_Power,SE,LagDrop_LGBM,SFS_LGBM_1,1.0,
-0.7022658499825959,0.4853222805639711,59,-2553.764483687258,3636.464002557646,-9832.938058071662,4725.409090697147,3,ok,P_Power,SE,LagDrop_LGBM,SFS_LGBM_2,1.0,
-0.751328135497147,0.4554930411695164,59,-2890.5589911225466,3847.2657345779944,-10591.698078180181,4810.580095935089,3,ok,P_Power,SE,LagDrop_LGBM,SFS_shared_LGBM,1.0,
-3.2527420784356655,0.0019075954340343497,59,-35913.59155394235,11041.020372329736,-58014.595076038524,-13812.588031846179,3,ok,P_Power,SE,LagDrop_LGBM,mi_top_k_nolags_LGBM,0.13162408494837013,
1.97111802140053,0.053488131478568186,59,10008.471691866276,5077.560847805044,-155.37063399638646,20172.31401772894,3,ok,P_Power,SE,LagDrop_LGBM,mutual_lags_LGBM_0,1.0,
2.2554379297970355,0.027894094311541124,59,12145.742872726201,5385.092940163148,1366.3081806545542,22925.17756479785,3,ok,P_Power,SE,LagDrop_LGBM,mutual_lags_LGBM_1,1.0,
1.3877016694374964,0.17053640674878057,59,7288.295821887917,5252.062444258801,-3224.849400607488,17801.441044383322,3,ok,P_Power,SE,LagDrop_LGBM,mutual_lags_LGBM_2,1.0,
1.8563188123277938,0.06848999844721096,59,9799.882196254903,5279.20211289892,-767.5889754713353,20367.35336798114,3,ok,P_Power,SE,LagDrop_LGBM,own_lags_LGBM_0,1.0,
1.7829289963301782,0.07983110926035403,59,9867.520523703835,5534.443908879298,-1210.872613720956,20945.913661128627,3,ok,P_Power,SE,LagDrop_LGBM,own_lags_LGBM_1,1.0,
1.9121207546646841,0.06080413830092655,59,9674.120532944236,5059.366940787546,-453.3027311365877,19801.54379702506,3,ok,P_Power,SE,LagDrop_LGBM,own_lags_LGBM_2,1.0,
-3.8680202343199386,0.00028019325518506295,59,-50318.49945279811,13008.85114465926,-76358.54423770531,-24278.454667890906,3,ok,P_Power,SE,LagDrop_LGBM,seasonal_naive_lag168,0.02381642669073035,LagDrop_LGBM
-0.81908809431332,0.4160891332711093,59,-6976.811203341367,8517.778797884195,-24026.99794914775,10073.375542465015,3,ok,P_Power,SE,LagDrop_LGBM,seasonal_naive_lag24,1.0,
1.4518437225347094,0.15193318673646283,59,2506.486394815001,1726.416112086112,-949.3109216578105,5962.283711287812,3,ok,P_Power,SE,SFS_LGBM,SFS_LGBM_1,1.0,
1.3990917850431779,0.16711071439124522,59,1397.9962193299223,999.2169450746779,-602.1538100802502,3398.146248740095,3,ok,P_Power,SE,SFS_LGBM,SFS_LGBM_2,1.0,
1.1687245771356336,0.24729585527078568,59,1061.201711894633,907.9998253270905,-756.3574140634241,2878.76083785269,3,ok,P_Power,SE,SFS_LGBM,SFS_shared_LGBM,1.0,
-2.4134383497059386,0.018982058468678533,59,-31961.83085092517,13243.276280423532,-58471.128528814836,-5452.533173035503,3,ok,P_Power,SE,SFS_LGBM,mi_top_k_nolags_LGBM,1.0,
2.2688226784333847,0.027016181258374537,59,13960.232394883455,6153.073366016843,1643.5178568991632,26276.946932867744,3,ok,P_Power,SE,SFS_LGBM,mutual_lags_LGBM_0,1.0,
2.5715239382358397,0.012710885247377228,59,16097.503575743382,6259.908117669269,3566.9360474621153,28628.071104024646,3,ok,P_Power,SE,SFS_LGBM,mutual_lags_LGBM_1,0.7712622940919077,
1.8687609555705462,0.06670873571959991,59,11240.056524905096,6014.710705186702,-799.6950557426462,23279.80810555284,3,ok,P_Power,SE,SFS_LGBM,mutual_lags_LGBM_2,1.0,
2.1768020634198275,0.0335791752927433,59,13751.642899272081,6317.360282940837,1106.0723672647146,26397.213431279448,3,ok,P_Power,SE,SFS_LGBM,own_lags_LGBM_0,1.0,
2.16952220509383,0.03415369343446522,59,13819.281226721012,6369.734863406637,1068.8715812704831,26569.69087217154,3,ok,P_Power,SE,SFS_LGBM,own_lags_LGBM_1,1.0,
2.2682729078182167,0.027051753431942095,59,13625.881235961415,6007.161302767461,1601.241426131117,25650.521045791713,3,ok,P_Power,SE,SFS_LGBM,own_lags_LGBM_2,1.0,
