statistic,p_value,n,mean_difference,standard_error,ci_low,ci_high,hac_lag,status,target,loss,horizon,model_a,model_b,p_holm_within_horizon,p_holm_global
-1.6013869685640552,0.11472437216083856,59,-8305.086519521947,5186.1834038583565,-18686.360515009073,2076.1874759651782,3,ok,P_Power,SE,1,LagDrop_LGBM,SFS_LGBM,1.0,1.0
-1.2265079992603254,0.22496358561225827,59,-6366.115266247177,5190.439255256723,-16755.908273888337,4023.6777413939826,3,ok,P_Power,SE,1,LagDrop_LGBM,SFS_LGBM_1,1.0,1.0
-1.6394437421313321,0.10653437897553078,59,-8402.751807218381,5125.367581259312,-18662.289707296324,1856.78609285956,3,ok,P_Power,SE,1,LagDrop_LGBM,SFS_LGBM_2,1.0,1.0
-1.9317033012626499,0.058286651834983855,59,-9557.294494178857,4947.599607005782,-19460.991132072428,346.402143714713,3,ok,P_Power,SE,1,LagDrop_LGBM,SFS_shared_LGBM,1.0,1.0
-2.49562426578317,0.015439904534669082,59,-25236.525687890575,10112.309787134931,-45478.51299389155,-4994.538381889597,3,ok,P_Power,SE,1,LagDrop_LGBM,mi_top_k_nolags_LGBM,0.46319713604007245,1.0
3.122422839515052,0.0027970037961787485,59,15446.001777716949,4946.800152190755,5543.9054225044,25348.098132929495,3,ok,P_Power,SE,1,LagDrop_LGBM,mutual_lags_LGBM_0,0.1202711632356862,1.0
2.858746513162876,0.005899608587114837,59,14216.149507985554,4972.861162236105,4261.886373310745,24170.41264266036,3,ok,P_Power,SE,1,LagDrop_LGBM,mutual_lags_LGBM_1,0.22418512631036383,1.0
2.8077391229375728,0.006785253033198026,59,13684.171547669095,4873.733259574397,3928.3344689188743,23440.008626419316,3,ok,P_Power,SE,1,LagDrop_LGBM,mutual_lags_LGBM_2,0.25105436222832694,1.0
3.149220541247977,0.002587207106406146,59,15269.308429743576,4848.599273931014,5563.782489501971,24974.834369985183,3,ok,P_Power,SE,1,LagDrop_LGBM,own_lags_LGBM_0,0.11383711268187041,1.0
2.9202880173962518,0.004973643272027754,59,13723.182459629918,4699.256504112083,4316.598552865542,23129.766366394295,3,ok,P_Power,SE,1,LagDrop_LGBM,own_lags_LGBM_1,0.1939720876090824,1.0
2.9708481181467596,0.004315814070997009,59,14620.284733454386,4921.249472212886,4769.3336210853395,24471.23584582343,3,ok,P_Power,SE,1,LagDrop_LGBM,own_lags_LGBM_2,0.17263256283988035,1.0
-3.773866886885687,0.00037994851412862646,59,-41444.595866612966,10981.997274634756,-63427.45182208468,-19461.73991114125,3,ok,P_Power,SE,1,LagDrop_LGBM,seasonal_naive_lag168,0.0201372712488172,0.7207623313020044
0.8089024218885948,0.4218771144466765,59,3766.436668878294,4656.231168259528,-5554.022670848801,13086.896008605388,3,ok,P_Power,SE,1,LagDrop_LGBM,seasonal_naive_lag24,1.0,1.0
1.1707651468333236,0.24648099391157552,59,1938.9712532747724,1656.1573074833043,-1376.187785609455,5254.1302921589995,3,ok,P_Power,SE,1,SFS_LGBM,SFS_LGBM_1,1.0,1.0
-0.045010894640476154,0.9642532396605301,59,-97.66528769643418,2169.814407745818,-4441.020725031477,4245.690149638608,3,ok,P_Power,SE,1,SFS_LGBM,SFS_LGBM_2,1.0,1.0
-0.6276091977896212,0.5327232268832927,59,-1252.207974656907,1995.2033511730901,-5246.041407125248,2741.625457811434,3,ok,P_Power,SE,1,SFS_LGBM,SFS_shared_LGBM,1.0,1.0
-1.2880785290584942,0.2028339081868196,59,-16931.43916836862,13144.725873774525,-43243.46677419935,9380.58843746211,3,ok,P_Power,SE,1,SFS_LGBM,mi_top_k_nolags_LGBM,1.0,1.0
4.335158190537065,5.8738704668790345e-05,59,23751.088297238894,5478.7131756999315,12784.252342823473,34717.924251654316,3,ok,P_Power,SE,1,SFS_LGBM,mutual_lags_LGBM_0,0.003994231917477743,0.12299884757644698
4.137788705163792,0.00011479265667431834,59,22521.236027507497,5442.819252564035,11626.249566607765,33416.22248840723,3,ok,P_Power,SE,1,SFS_LGBM,mutual_lags_LGBM_1,0.0068875594004591005,0.23375888178371565
4.066156196708017,0.00014588508281186918,59,21989.258067191047,5407.873432160249,11164.223265991373,32814.29286839072,3,ok,P_Power,SE,1,SFS_LGBM,mutual_lags_LGBM_2,0.00829570828318597,0.29381255678310453
4.408467550807427,4.564142501635249e-05,59,23574.394949265523,5347.526022948221,12870.158612208432,34278.63128632261,3,ok,P_Power,SE,1,SFS_LGBM,own_lags_LGBM_0,0.0032405411761610267,0.09621212393447104
4.066869377601078,0.00014553874181028018,59,22028.268979151868,5416.517457009075,11185.931282278912,32870.60667602482,3,ok,P_Power,SE,1,SFS_LGBM,own_lags_LGBM_1,0.00829570828318597,0.29326056474771456
4.15069059609683,0.00010992007756719303,59,22925.371252976325,5523.2667244661825,11869.351681014781,33981.39082493787,3,ok,P_Power,SE,1,SFS_LGBM,own_lags_LGBM_2,0.006705124731598774,0.22434687831464098
-2.566777356435869,0.012867781124092752,59,-33139.509347091014,12910.940352499952,-58983.56438744642,-7295.454306735606,3,ok,P_Power,SE,1,SFS_LGBM,seasonal_naive_lag168,0.41176899597096805,1.0
2.2712632054543893,0.026858769860269433,59,12071.523188400242,5314.89400233788,1432.6069375418592,22710.439439258625,3,ok,P_Power,SE,1,SFS_LGBM,seasonal_naive_lag24,0.6983280163670053,1.0
-1.2545411026453555,0.21467752063788928,59,-2036.6365409712062,1623.4115699172435,-5286.247864438218,1212.9747824958058,3,ok,P_Power,SE,1,SFS_LGBM_1,SFS_LGBM_2,1.0,1.0
-1.9697861190165278,0.053644582120926966,59,-3191.1792279316796,1620.0638217132769,-6434.089305286296,51.730849422936444,3,ok,P_Power,SE,1,SFS_LGBM_1,SFS_shared_LGBM,1.0,1.0
-1.4573561453028538,0.1504113798791386,59,-18870.410421643395,12948.386351863173,-44789.42177363545,7048.600930348661,3,ok,P_Power,SE,1,SFS_LGBM_1,mi_top_k_nolags_LGBM,1.0,1.0
4.416632556416234,4.4371947925659183e-05,59,21812.117043964125,4938.630679673978,11926.373664724653,31697.860423203594,3,ok,P_Power,SE,1,SFS_LGBM_1,mutual_lags_LGBM_0,0.003194780250647461,0.09358043817521522
4.227686195005789,8.47453670092775e-05,59,20582.26477423273,4868.446669137076,10837.009955992411,30327.51959247305,3,ok,P_Power,SE,1,SFS_LGBM_1,mutual_lags_LGBM_1,0.0053389581215844825,0.17466020140612093
4.116322215039718,0.0001233663247231935,59,20050.28681391627,4870.922577600697,10300.075926415178,29800.497701417364,3,ok,P_Power,SE,1,SFS_LGBM_1,mutual_lags_LGBM_2,0.007278613158668417,0.250557005512806
4.485449489360661,3.495310666128284e-05,59,21635.42369599075,4823.468360820752,11980.20274391449,31290.644648067013,3,ok,P_Power,SE,1,SFS_LGBM_1,own_lags_LGBM_0,0.00258652989293493,0.07403067990859706
4.058556392200854,0.00014962554939677635,59,20089.2977258771,4949.862903095741,10181.07060862846,29997.524843125735,3,ok,P_Power,SE,1,SFS_LGBM_1,own_lags_LGBM_1,0.00829570828318597,0.301046605386314
4.197527619170313,9.385821915904109e-05,59,20986.399999701564,4999.705041571531,10978.403002418747,30994.396996984382,3,ok,P_Power,SE,1,SFS_LGBM_1,own_lags_LGBM_2,0.005819209587860547,0.19306635681014753
-2.6884900211523095,0.009354062535118307,59,-35078.48060036579,13047.651404460432,-61196.19254370638,-8960.7686570252,3,ok,P_Power,SE,1,SFS_LGBM_1,seasonal_naive_lag168,0.3362425679841995,1.0
2.084369082647182,0.04154053363160665,59,10132.551935125468,4861.208132226258,401.7866227791619,19863.317247471772,3,ok,P_Power,SE,1,SFS_LGBM_1,seasonal_naive_lag24,1.0,1.0
-1.6348765176499285,0.10749144232171277,59,-1154.542686960473,706.1956511676389,-2568.1468691300656,259.0614952091196,3,ok,P_Power,SE,1,SFS_LGBM_2,SFS_shared_LGBM,1.0,1.0
-1.3188181072864291,0.19241358940091427,59,-16833.773880672186,12764.287802590901,-42384.27194778016,8716.72418643579,3,ok,P_Power,SE,1,SFS_LGBM_2,mi_top_k_nolags_LGBM,1.0,1.0
5.104506234362041,3.843539145355814e-06,59,23848.75358493533,4672.098042390958,14496.533245840621,33200.97392403004,3,ok,P_Power,SE,1,SFS_LGBM_2,mutual_lags_LGBM_0,0.0003305443665006,0.008371228258584962
4.884508054415693,8.521214280342407e-06,59,22618.901315203933,4630.742965968906,13349.462155641408,31888.34047476646,3,ok,P_Power,SE,1,SFS_LGBM_2,mutual_lags_LGBM_1,0.0007072607852684198,0.018508077416903707
4.778965537483921,1.243109855401693e-05,59,22086.92335488748,4621.69546560824,12835.59473498471,31338.251974790248,3,ok,P_Power,SE,1,SFS_LGBM_2,mutual_lags_LGBM_2,0.0009571945886593037,0.02676415518679845
5.184332623796113,2.8711831318395562e-06,59,23672.060236961956,4566.076668828516,14532.06473502028,32812.05573890363,3,ok,P_Power,SE,1,SFS_LGBM_2,own_lags_LGBM_0,0.0002526641156018809,0.0062620504105420725
4.695574541745605,1.6717465973288664e-05,59,22125.9342668483,4712.08242359685,12693.676492801029,31558.19204089557,3,ok,P_Power,SE,1,SFS_LGBM_2,own_lags_LGBM_1,0.0012538099479966498,0.03579209464881103
4.848219840584018,9.705885292318948e-06,59,23023.03654067277,4748.760843711949,13517.35893179028,32528.714149555257,3,ok,P_Power,SE,1,SFS_LGBM_2,own_lags_LGBM_2,0.0007764708233855158,0.02102294754316284
-2.457759770806299,0.016990274015751445,59,-33041.84405939458,13443.886767076014,-59952.707255919406,-6130.980862869754,3,ok,P_Power,SE,1,SFS_LGBM_2,seasonal_naive_lag168,0.4927179464567919,1.0
2.5238754732778816,0.01436763613610903,59,12169.188476096675,4821.627930910533,2517.651544750044,21820.725407443308,3,ok,P_Power,SE,1,SFS_LGBM_2,seasonal_naive_lag24,0.4453967202193799,1.0
-1.2346799390248049,0.22192845524201224,59,-15679.231193711712,12699.024822656258,-41099.09121281709,9740.62882539367,3,ok,P_Power,SE,1,SFS_shared_LGBM,mi_top_k_nolags_LGBM,1.0,1.0
5.129543119497662,3.5080688073441664e-06,59,25003.296271895804,4874.37100915615,15246.182598657282,34760.40994513433,3,ok,P_Power,SE,1,SFS_shared_LGBM,mutual_lags_LGBM_0,0.00030520198623894246,0.007644081931202938
4.914838528795093,7.640765086259696e-06,59,23773.444002164404,4837.075290038599,14090.985821967255,33455.902182361555,3,ok,P_Power,SE,1,SFS_shared_LGBM,mutual_lags_LGBM_1,0.0006418242672458145,0.01661102329752858
4.830102246778167,1.035630687239431e-05,59,23241.46604184795,4811.79586981844,13609.610119094546,32873.32196460135,3,ok,P_Power,SE,1,SFS_shared_LGBM,mutual_lags_LGBM_2,0.0008077919360467563,0.022379979151244105
5.207567747760784,2.6368023118473327e-06,59,24826.60292392243,4767.408534358038,15283.597906634732,34369.607941210124,3,ok,P_Power,SE,1,SFS_shared_LGBM,own_lags_LGBM_0,0.0002346754057544126,0.0057535026444508796
4.758190020937773,1.3385708319096444e-05,59,23280.47695380877,4892.716947277468,13486.639895469762,33074.31401214778,3,ok,P_Power,SE,1,SFS_shared_LGBM,own_lags_LGBM_1,0.0010173138322513296,0.028752501469419163
4.877165072444831,8.748892781008379e-06,59,24177.579227633247,4957.301807197901,14254.461525980434,34100.69692928606,3,ok,P_Power,SE,1,SFS_shared_LGBM,own_lags_LGBM_2,0.000717409208042687,0.01899384622756919
-2.4166755671462337,0.01882978229146409,59,-31887.30137243411,13194.696799988213,-58299.35665496571,-5475.246089902514,3,ok,P_Power,SE,1,SFS_shared_LGBM,seasonal_naive_lag168,0.5084041218695304,1.0
2.689053346273201,0.009340071332894431,59,13323.73116305715,4954.8035859990305,3405.614194457379,23241.84813165692,3,ok,P_Power,SE,1,SFS_shared_LGBM,seasonal_naive_lag24,0.3362425679841995,1.0
3.7302107050525244,0.00043701797364446106,59,40682.52746560752,10906.227739495664,18851.34071338928,62513.71421782576,3,ok,P_Power,SE,1,mi_top_k_nolags_LGBM,mutual_lags_LGBM_0,0.022724934629511976,0.8215830717927861
3.5779387466008004,0.0007073455443040373,59,39452.675195876116,11026.649137959083,17380.43882488843,61524.9115668638,3,ok,P_Power,SE,1,mi_top_k_nolags_LGBM,mutual_lags_LGBM_1,0.03312859309989621,1.0
3.579062289516424,0.000704863682976515,59,38920.69723555967,10874.551512993741,17152.917339762076,60688.47713135727,3,ok,P_Power,SE,1,mi_top_k_nolags_LGBM,mutual_lags_LGBM_2,0.03312859309989621,1.0
3.7126406798058214,0.0004622297023458567,59,40505.83411763415,10910.248960519575,18666.59801698473,62345.07021828357,3,ok,P_Power,SE,1,mi_top_k_nolags_LGBM,own_lags_LGBM_0,0.023573714819638693,0.8652940027914438
3.5902499514997874,0.0006805992525864556,59,38959.70814752048,10851.530861032528,17238.009093250068,60681.4072017909,3,ok,P_Power,SE,1,mi_top_k_nolags_LGBM,own_lags_LGBM_1,0.03266876412414987,1.0
