n_hours,n_days,RMSE,MAE,MAPE%,SMAPE%,WMAPE%,Bias_y_minus_pred,CRPS,Pinball_mean,Coverage80,Width80,IntervalScore80,Coverage95,Width95,IntervalScore95,model_id,target,regime
1296,54,147.30022079736793,113.3539856649299,5.242469185412119,5.229571033420575,5.160912073244458,5.3350585888572555,85.00990996851777,44.50981439494104,0.7955246913580247,377.14246178802654,540.0525209633481,0.9467592592592593,600.8654904457659,772.232968383072,LagDrop_LGBM,P_Power,before_2022-02-24
120,5,319.542239603724,270.88919641475826,16.511568505975998,14.80558153896391,15.28625177978558,-263.0692421364865,251.58020692739046,130.5065495155365,0.2833333333333333,377.14246178802665,1972.4570039057794,0.44166666666666665,600.8654904457658,4336.020597952592,LagDrop_LGBM,P_Power,from_2022-02-24
1296,54,159.69264923381,124.17243273038707,5.773167060644472,5.915712476478217,5.653466911491738,60.30300440659686,85.07055239579923,44.51913958428076,0.8117283950617284,385.4170658913387,537.3265322437321,0.9498456790123457,591.7992862511678,798.888683977296,SFS_LGBM,P_Power,before_2022-02-24
120,5,328.1015661728631,277.61627135611064,16.70756561808461,14.993229209567563,15.665859983641571,-259.44138719366066,281.7944975380958,145.84285585081963,0.275,385.4170658913388,2224.0744859406323,0.43333333333333335,591.7992862511677,5328.927192220059,SFS_LGBM,P_Power,from_2022-02-24
1296,54,157.01315687755417,120.70465048653115,5.627016959469877,5.75594425729366,5.495581688976481,54.00810221195166,85.06944811342031,44.52974036954943,0.8155864197530864,393.7440881558706,533.825894715685,0.9529320987654321,607.9543049133181,788.7105755446934,SFS_LGBM_1,P_Power,before_2022-02-24
120,5,295.3626495719573,245.74770778226238,15.031779766016296,13.583437442560314,13.86751994979219,-223.20280124729157,241.42354402826768,125.08590721859422,0.3333333333333333,393.7440881558706,1816.3107699339655,0.5166666666666667,607.9543049133179,4281.081954709388,SFS_LGBM_1,P_Power,from_2022-02-24
1296,54,156.8996682376067,123.88525479344331,5.781682231096519,5.9104112464378415,5.640391940433168,57.1391756238555,83.59723228064789,43.741772656841526,0.7939814814814815,377.75291598874054,527.3000899371445,0.9544753086419753,575.7131430166613,767.3384076625707,SFS_LGBM_2,P_Power,before_2022-02-24
120,5,317.3389901357885,268.61927347823604,16.204580545748833,14.585136567558479,15.158160242774773,-253.88153488369048,270.98099496046774,140.23903803843513,0.26666666666666666,377.75291598874065,2143.9129073346153,0.4083333333333333,575.7131430166613,5256.176638732752,SFS_LGBM_2,P_Power,from_2022-02-24
1296,54,158.52202848082,124.8911246876247,5.8151881582046325,5.95690781942621,5.6861883546531224,61.08668067291699,83.75798972969591,43.81974408410503,0.8063271604938271,381.39272326682504,526.423147220507,0.9521604938271605,577.0736699574248,769.6003422744523,SFS_shared_LGBM,P_Power,before_2022-02-24
120,5,314.8833935691554,267.1749355131815,16.065616276857345,14.483333160001214,15.076656387762695,-247.2943651923936,269.4759066110469,139.31127521622142,0.2833333333333333,381.392723266825,2090.3202444964395,0.4166666666666667,577.0736699574248,5253.973832604575,SFS_shared_LGBM,P_Power,from_2022-02-24
