"model_id","original_snapshot","development_origins","trial_milestone","sampler_seed","target","roles","best_trial_number_zero_based","best_objective","publication_model_file","publication_metadata_file","original_model_file","original_metadata_file","model_sha256","metadata_sha256","duplicate_model_of"
"S24_T60_seed73_Q","sx_norm_s73_t60","24","60","73","Q","variance search; split-count comparison; sampler-seed replication","4","0.5068901706000276","Models/S24_T60_seed73_Q_LGBM.txt","Models/S24_T60_seed73_Q_LGBM.meta.json","Models/sx_norm_s73_t60_LGBM_sheet1_Q_Power_best.txt","Models/sx_norm_s73_t60_LGBM_sheet1_Q_Power_best.meta.json","1bb90ab01ed636ff8d08ca49e9d842ec417c5d28b5e875959b317651dea75ba7","cf8c9d8779abf69e1b6c9c90c2a3409dd29676545aab284579a6911d04649189","S24_T10_seed73_Q"
"S36_T60_seed17_P","sx_norm_s36_s17_t60","36","60","17","P","variance search; split-count comparison; sampler-seed replication","45","0.5022640969767649","Models/S36_T60_seed17_P_LGBM.txt","Models/S36_T60_seed17_P_LGBM.meta.json","Models/sx_norm_s36_s17_t60_LGBM_sheet1_P_Power_best.txt","Models/sx_norm_s36_s17_t60_LGBM_sheet1_P_Power_best.meta.json","550248b2fc71caaa3b2aebbd0c6eac21c27acc097f6857eaf84a38f517bbea33","e462db2831eab4a9f153a8f6b991d5b195cf529ae7f9ceb3487ee393fa044b35",
"S36_T60_seed17_Q","sx_norm_s36_s17_t60","36","60","17","Q","variance search; split-count comparison; sampler-seed replication","45","0.5022640969767649","Models/S36_T60_seed17_Q_LGBM.txt","Models/S36_T60_seed17_Q_LGBM.meta.json","Models/sx_norm_s36_s17_t60_LGBM_sheet1_Q_Power_best.txt","Models/sx_norm_s36_s17_t60_LGBM_sheet1_Q_Power_best.meta.json","3ec11762877f98689ac8ae624c642b1a7ade58117d56827e96a35687f383e281","3ad1ee19ddb8963d97f8246f759460a67452b789ed8757b2c3be0837c2bf46be",
"S36_T60_seed42_P","sx_norm_s36_t60","36","60","42","P","variance search; split-count comparison","43","0.5067798606901865","Models/S36_T60_seed42_P_LGBM.txt","Models/S36_T60_seed42_P_LGBM.meta.json","Models/sx_norm_s36_t60_LGBM_sheet1_P_Power_best.txt","Models/sx_norm_s36_t60_LGBM_sheet1_P_Power_best.meta.json","a2499c343e81bf164fb7fcc8aa54bc3ec2ae89b5470a22144e64ba570e2332e4","114c6ddba98919d653a768a3801ace7c79c67db98cb0bca83a235ff0ddce7258",
"S36_T60_seed42_Q","sx_norm_s36_t60","36","60","42","Q","variance search; split-count comparison","43","0.5067798606901865","Models/S36_T60_seed42_Q_LGBM.txt","Models/S36_T60_seed42_Q_LGBM.meta.json","Models/sx_norm_s36_t60_LGBM_sheet1_Q_Power_best.txt","Models/sx_norm_s36_t60_LGBM_sheet1_Q_Power_best.meta.json","796fa422fdccae2367ab636b273140ab80b018f9919c981741c26a26fb850232","d5cfda922a97fe18fcf1543327259478703f60f195df03542ce2512f1a1b746b",
"S36_T60_seed73_P","sx_norm_s36_s73_t60","36","60","73","P","variance search; split-count comparison; sampler-seed replication","3","0.5029332068040988","Models/S36_T60_seed73_P_LGBM.txt","Models/S36_T60_seed73_P_LGBM.meta.json","Models/sx_norm_s36_s73_t60_LGBM_sheet1_P_Power_best.txt","Models/sx_norm_s36_s73_t60_LGBM_sheet1_P_Power_best.meta.json","1d34964d8e6731b5dd8032597be70972527b7702bde7167ec94cca1a6d30c963","0286fd5c8800461dd6ffd8ee15244735aea91df1ee75fad1a936d4898a8f2113","S24_T10_seed73_P"
"S36_T60_seed73_Q","sx_norm_s36_s73_t60","36","60","73","Q","variance search; split-count comparison; sampler-seed replication","3","0.5029332068040988","Models/S36_T60_seed73_Q_LGBM.txt","Models/S36_T60_seed73_Q_LGBM.meta.json","Models/sx_norm_s36_s73_t60_LGBM_sheet1_Q_Power_best.txt","Models/sx_norm_s36_s73_t60_LGBM_sheet1_Q_Power_best.meta.json","1bb90ab01ed636ff8d08ca49e9d842ec417c5d28b5e875959b317651dea75ba7","fb84219789f1293303de5b95f173ad99d38b75bc490cb12258c5b78abf7a10eb","S24_T10_seed73_Q"
"S48_T60_seed17_P","sx_norm_s48_s17_t60","48","60","17","P","variance search; split-count comparison; sampler-seed replication","59","0.49417286027788354","Models/S48_T60_seed17_P_LGBM.txt","Models/S48_T60_seed17_P_LGBM.meta.json","Models/sx_norm_s48_s17_t60_LGBM_sheet1_P_Power_best.txt","Models/sx_norm_s48_s17_t60_LGBM_sheet1_P_Power_best.meta.json","1a96e0a52e202ab05edfa1888effbf3c67ab4b07108494608dcbdf63bbebd98e","ccd1b955e516ea0843e821c30e509a483721525c51e7a9e54154fb6f6f3ab4a0",
"S48_T60_seed17_Q","sx_norm_s48_s17_t60","48","60","17","Q","variance search; split-count comparison; sampler-seed replication","59","0.49417286027788354","Models/S48_T60_seed17_Q_LGBM.txt","Models/S48_T60_seed17_Q_LGBM.meta.json","Models/sx_norm_s48_s17_t60_LGBM_sheet1_Q_Power_best.txt","Models/sx_norm_s48_s17_t60_LGBM_sheet1_Q_Power_best.meta.json","f7dba20cc89bc2e1241b83398e042f0c89eeb4e87f1b354535eb8bdcee01e407","39a0226e32d1dbf47a85044680c58dbec7ff01dfd5e81447855d6ba1c8845616",
"S48_T60_seed42_P","sx_norm_s48_t60","48","60","42","P","variance search; split-count comparison","51","0.49924980209510095","Models/S48_T60_seed42_P_LGBM.txt","Models/S48_T60_seed42_P_LGBM.meta.json","Models/sx_norm_s48_t60_LGBM_sheet1_P_Power_best.txt","Models/sx_norm_s48_t60_LGBM_sheet1_P_Power_best.meta.json","6f4f857e9dc818768149e8e87b90b030fa0ae99a7fb118722598d5def45f738f","a948a6d9b7ff2ca0f3eb4b717e479df924635ef8290d941df4cbf89fbdbb0277",
"S48_T60_seed42_Q","sx_norm_s48_t60","48","60","42","Q","variance search; split-count comparison","51","0.49924980209510095","Models/S48_T60_seed42_Q_LGBM.txt","Models/S48_T60_seed42_Q_LGBM.meta.json","Models/sx_norm_s48_t60_LGBM_sheet1_Q_Power_best.txt","Models/sx_norm_s48_t60_LGBM_sheet1_Q_Power_best.meta.json","a2d0d6182a3b73e2549a236c0b78c123c55cb69c6fb46b1032c8bc26697e8a12","a6686c6e73d7acb44b0753d60828d3c5d35e3c12b18f1bb6d3ee3af07f55a74f",
"S48_T60_seed73_P","sx_norm_s48_s73_t60","48","60","73","P","variance search; split-count comparison; sampler-seed replication","42","0.4962023419400496","Models/S48_T60_seed73_P_LGBM.txt","Models/S48_T60_seed73_P_LGBM.meta.json","Models/sx_norm_s48_s73_t60_LGBM_sheet1_P_Power_best.txt","Models/sx_norm_s48_s73_t60_LGBM_sheet1_P_Power_best.meta.json","a695e926f205e9ec40fd202e39ccb5825253e1facaa68f85ac33105de0032cd5","d61f1b1badd0976e01f89ffafb6ba58b203e31e1a1da055223a58f686be4c367",
"S48_T60_seed73_Q","sx_norm_s48_s73_t60","48","60","73","Q","variance search; split-count comparison; sampler-seed replication","42","0.4962023419400496","Models/S48_T60_seed73_Q_LGBM.txt","Models/S48_T60_seed73_Q_LGBM.meta.json","Models/sx_norm_s48_s73_t60_LGBM_sheet1_Q_Power_best.txt","Models/sx_norm_s48_s73_t60_LGBM_sheet1_Q_Power_best.meta.json","ae565cb1a0040bad9cdbe06537b6e675084b84a8bcdd8ba9670ab26f87b62151","a854b588e65dd3b9c8e3bdc24f704829a0945cf149fb8541434b8c879c95d496",
