n,family,model,sheet,lag_policy,RMSE,MAE,MAPE%,SMAPE%,WMAPE%,MASE,Bias_y_minus_pred,CRPS,Pinball_mean,Pinball_0.05,Pinball_0.10,Pinball_0.15,Pinball_0.20,Pinball_0.25,Pinball_0.30,Pinball_0.35,Pinball_0.40,Pinball_0.45,Pinball_0.50,Pinball_0.55,Pinball_0.60,Pinball_0.65,Pinball_0.70,Pinball_0.75,Pinball_0.80,Pinball_0.85,Pinball_0.90,Pinball_0.95,Coverage05,CoverageGap05,Width05,IntervalScore05,Coverage10,CoverageGap10,Width10,IntervalScore10,Coverage15,CoverageGap15,Width15,IntervalScore15,Coverage20,CoverageGap20,Width20,IntervalScore20,Coverage25,CoverageGap25,Width25,IntervalScore25,Coverage30,CoverageGap30,Width30,IntervalScore30,Coverage35,CoverageGap35,Width35,IntervalScore35,Coverage40,CoverageGap40,Width40,IntervalScore40,Coverage45,CoverageGap45,Width45,IntervalScore45,Coverage50,CoverageGap50,Width50,IntervalScore50,Coverage55,CoverageGap55,Width55,IntervalScore55,Coverage60,CoverageGap60,Width60,IntervalScore60,Coverage65,CoverageGap65,Width65,IntervalScore65,Coverage70,CoverageGap70,Width70,IntervalScore70,Coverage75,CoverageGap75,Width75,IntervalScore75,Coverage80,CoverageGap80,Width80,IntervalScore80,Coverage85,CoverageGap85,Width85,IntervalScore85,Coverage90,CoverageGap90,Width90,IntervalScore90,Coverage95,CoverageGap95,Width95,IntervalScore95,CalibrationMAE,MeanIntervalScore,model_id,period,target,date
24,LagDrop,LGBM,0,drop,160.2511503107278,129.74635965371914,7.050067371746809,7.4713697583772705,6.783768673727866,0.9933833896310977,128.90544172572416,82.00191958469145,42.98158561682342,15.147561326945914,26.46456692139593,34.34602231764947,40.795032051239126,45.07012846226328,48.29204534907898,49.62842367423561,49.42186836223677,48.53653763087396,48.97099661591025,49.09376866622608,52.412938149072424,53.01901969037224,53.1410689880171,52.68848962910482,50.95141477258085,44.21083952157011,34.58829870816148,19.87110588271071,0.125,0.075,19.518835102329216,205.27305539139698,0.3333333333333333,0.2333333333333333,43.95927199509163,221.0145792154099,0.375,0.225,60.78036753999092,239.15431063549218,0.4166666666666667,0.21666666666666667,77.42516254360562,256.2333850434198,0.5,0.25,104.24226790268585,276.42157399826783,0.5833333333333334,0.2833333333333334,121.29484365494777,296.7041527815921,0.5833333333333334,0.2333333333333334,137.41004723862454,317.86541749418365,0.5833333333333334,0.18333333333333335,166.70270120918664,345.52655075683134,0.5833333333333334,0.13333333333333336,182.86879362451563,369.5953335446693,0.6666666666666666,0.16666666666666663,200.4973051062399,392.03544468411684,0.6666666666666666,0.11666666666666659,230.8549942183857,428.30407335818103,0.6666666666666666,0.06666666666666665,254.48490145447485,463.1253869375078,0.6666666666666666,0.016666666666666607,276.40641699415227,485.5982282429533,0.6666666666666666,-0.033333333333333326,312.503251718941,520.7123682167982,0.6666666666666666,-0.08333333333333337,344.5106173300974,558.6696874967427,0.6666666666666666,-0.13333333333333341,377.1424617880266,603.1044819970714,0.7916666666666666,-0.05833333333333335,438.19647938538213,627.2885831489025,0.7916666666666666,-0.10833333333333339,497.5240877102876,662.4648757201845,0.9166666666666666,-0.033333333333333326,600.8654904457659,690.8788628961485,0.13947368421052633,418.9458079768353,LagDrop_LGBM_sheet0,evaluation,P_Power,2022-01-01
24,LagDrop,LGBM,0,drop,95.84396325700018,84.09119611798978,4.511480014533613,4.659396385561881,4.24451126821153,0.6438315314646872,77.17363969856024,49.94618177078496,26.022344841301376,12.560971225587716,21.291386718679544,26.58625201357488,30.44867164580634,32.49684518019763,33.478183994646095,33.25714652364664,32.20740612464446,31.914738343872273,29.962047467120584,29.438873901618123,29.315431212163173,28.731340629099382,27.694188554225548,27.115824930317235,24.51402593453741,18.71653981096237,14.722261277136832,9.972416496889885,0.125,0.075,19.518835102329195,127.09326265397074,0.20833333333333334,0.10833333333333334,43.959271995091655,137.85796404724633,0.3333333333333333,0.18333333333333332,60.78036753999093,145.01471018078962,0.4166666666666667,0.21666666666666667,77.42516254360564,155.42859935098605,0.5833333333333334,0.33333333333333337,104.24226790268585,167.6471566685857,0.625,0.325,121.29484365494777,181.88375257235387,0.625,0.275,137.41004723862457,193.3728200614568,0.6666666666666666,0.2666666666666666,166.70270120918659,210.56691612810576,0.6666666666666666,0.21666666666666662,182.86879362451563,226.73562882790114,0.75,0.25,200.4973051062399,240.65129543266562,0.7916666666666666,0.24166666666666659,230.8549942183857,263.2909569509688,0.7916666666666666,0.19166666666666665,254.48490145447485,281.4160145869539,0.8333333333333334,0.18333333333333335,276.40641699415227,289.9286753152867,0.9166666666666666,0.21666666666666667,312.503251718941,317.1114708765245,1.0,0.25,344.51061733009743,344.51061733009743,1.0,0.19999999999999996,377.14246178802654,377.14246178802654,1.0,0.15000000000000002,438.19647938538213,438.19647938538213,1.0,0.09999999999999998,497.52408771028746,497.52408771028746,1.0,0.050000000000000044,600.8654904457659,600.8654904457659,0.20175438596491227,273.48622949017664,LagDrop_LGBM_sheet0,evaluation,P_Power,2022-01-02
24,LagDrop,LGBM,0,drop,104.30533510110875,82.1671359996436,4.334558301227558,4.217643506964378,4.058738719140686,0.6291002560183634,-27.28370549886198,70.93846995159868,37.167038614211016,14.396787271248655,23.70707990766735,30.77828249647148,35.64511692523631,38.344282762645,40.42141749427281,42.6308267714929,43.816716665686926,44.49489314808198,46.03482418876471,48.075991020177355,48.54484832009245,47.579103898913736,46.811532752902075,43.315539332942386,38.58099581730843,32.632215342464725,25.167995796879055,15.195283756761,0.08333333333333333,0.033333333333333326,19.518835102329206,195.0491786718516,0.125,0.024999999999999994,43.959271995091655,206.06476320714685,0.25,0.1,60.78036753999094,218.6382418829899,0.2916666666666667,0.09166666666666667,77.42516254360564,230.68579007091842,0.5,0.25,104.2422679026859,242.6358024693718,0.5,0.2,121.29484365494777,258.6738283287303,0.5,0.15000000000000002,137.41004723862451,271.0375637102489,0.5,0.09999999999999998,166.70270120918659,296.61482941483786,0.5,0.04999999999999999,182.86879362451558,312.7832816267251,0.625,0.125,200.4973051062399,329.0159325329266,0.7083333333333334,0.15833333333333333,230.85499421838574,350.2829511150284,0.7083333333333334,0.10833333333333339,254.48490145447485,376.1641545238669,0.7083333333333334,0.05833333333333335,276.40641699415227,399.4357188284974,0.75,0.050000000000000044,312.503251718941,432.1237290672669,0.7916666666666666,0.04166666666666663,344.5106173300974,457.9313053301187,0.7916666666666666,-0.008333333333333415,377.14246178802654,489.12951995793463,0.875,0.025000000000000022,438.19647938538213,540.8723833902891,0.9166666666666666,0.016666666666666607,497.5240877102876,607.4567882915306,0.9583333333333334,0.008333333333333415,600.865490445766,689.7911201652031,0.08421052631578947,363.38878329397284,LagDrop_LGBM_sheet0,evaluation,P_Power,2022-01-03
24,LagDrop,LGBM,0,drop,136.65062474330122,111.29297339615391,4.935959993435688,5.061672548393594,5.212358396672587,0.8520978272489504,78.61643206101738,63.873446740331836,33.349672368049404,12.633110843710574,21.919719625221916,29.868069933215775,36.451456059642545,41.87623590592917,46.21319492839218,49.02758712832582,49.30059011392169,48.17092818940108,47.64070120604947,44.281664549623024,40.049904326148514,37.2882372543029,33.43828935869106,27.933386693018168,22.763040499342605,19.723743978793962,15.163637520441236,9.900276878767027,0.041666666666666664,-0.008333333333333338,19.518835102329223,197.15637553361333,0.08333333333333333,-0.016666666666666677,43.959271995091676,204.06394897100532,0.16666666666666666,0.016666666666666663,60.78036753999092,215.36913416505777,0.25,0.04999999999999999,77.42516254360562,223.59239101156467,0.3333333333333333,0.08333333333333331,104.24226790268585,237.06657918980636,0.375,0.07500000000000001,121.2948436549478,246.49658433101,0.4166666666666667,0.06666666666666671,137.41004723862457,256.71546221721775,0.5,0.09999999999999998,166.70270120918664,263.8253652513503,0.5416666666666666,0.09166666666666662,182.86879362451563,268.3631675187692,0.5833333333333334,0.08333333333333337,200.4973051062399,280.10446907878054,0.6666666666666666,0.11666666666666659,230.8549942183857,292.4570899326581,0.6666666666666666,0.06666666666666665,254.48490145447488,301.82414637192034,0.7916666666666666,0.1416666666666666,276.4064169941523,316.43053562005247,0.7916666666666666,0.09166666666666667,312.50325171894104,344.7160071349164,0.8333333333333334,0.08333333333333337,344.5106173300974,363.6670837525833,0.875,0.07499999999999996,377.1424617880266,385.3700406861237,1.0,0.15000000000000002,438.1964793853822,438.1964793853822,1.0,0.09999999999999998,497.5240877102876,497.5240877102876,1.0,0.050000000000000044,600.8654904457659,600.8654904457659,0.07719298245614034,312.3054967530456,LagDrop_LGBM_sheet0,evaluation,P_Power,2022-01-04
24,LagDrop,LGBM,0,drop,75.68107012652888,61.4338804515128,2.9659674761425214,3.0091980475759144,2.879505056932033,0.4703592190485484,26.357011108000375,51.02811960267322,26.498421525237756,10.020139796059725,16.209723859623555,21.091097916934682,24.50304024459392,27.723366918115527,29.79362476501929,30.833418840925862,29.90711709103445,29.79899445359402,30.438269579504404,32.98450727362106,34.168104867216535,34.38578302236376,33.71333868418862,31.855623438321313,29.140578314354624,24.586107851435372,19.80392413619282,12.51324792641788,0.08333333333333333,0.033333333333333326,19.518835102329245,130.41658175557143,0.16666666666666666,0.06666666666666665,43.959271995091655,140.788732399816,0.2916666666666667,0.1416666666666667,60.78036753999093,151.28477701541922,0.375,0.175,77.42516254360564,160.8738609914608,0.5416666666666666,0.29166666666666663,104.24226790268585,177.1667696283508,0.5833333333333334,0.2833333333333334,121.29484365494777,190.2656213920801,0.5833333333333334,0.2333333333333334,137.41004723862457,202.41256335751652,0.6666666666666666,0.2666666666666666,166.7027012091866,217.71163189450922,0.7083333333333334,0.25833333333333336,182.86879362451563,232.64923703692213,0.75,0.25,200.4973051062399,242.862217941051,0.7916666666666666,0.24166666666666659,230.8549942183857,261.31420891125987,0.8333333333333334,0.2333333333333334,254.48490145447485,277.89737233490894,0.875,0.22499999999999998,276.40641699415227,290.56749575746386,0.9583333333333334,0.2583333333333334,312.503251718941,314.9162089713447,1.0,0.25,344.5106173300974,344.5106173300974,1.0,0.19999999999999996,377.1424617880266,377.1424617880266,1.0,0.15000000000000002,438.19647938538213,438.19647938538213,1.0,0.09999999999999998,497.5240877102876,497.5240877102876,1.0,0.050000000000000044,600.8654904457659,600.8654904457659,0.19517543859649122,276.28244294985444,LagDrop_LGBM_sheet0,evaluation,P_Power,2022-01-05
24,LagDrop,LGBM,0,drop,160.9508044593209,129.6941852209334,6.097765960606471,5.905383206738476,6.215872764003518,0.9929839239734015,-59.4988274457684,107.98398449952869,56.720132722698246,29.801586007809362,45.445887560669995,58.69483107429147,65.05716187213041,70.12328878714327,72.86077468658341,74.00824255089161,74.90553141754576,75.22317159967209,74.33664318968597,71.28242779407276,66.41999643160223,61.802334744643055,58.1001632624955,51.93642906516342,45.024020206689706,37.46448363450068,28.389507991569698,16.806039854106324,0.0,-0.05,19.518835102329223,311.05580406131503,0.125,0.024999999999999994,43.959271995091655,323.8904387602516,0.16666666666666666,0.016666666666666663,60.78036753999094,338.8589044044699,0.20833333333333334,0.008333333333333331,77.42516254360562,352.4556240474329,0.2916666666666667,0.041666666666666685,104.24226790268581,370.66211889145933,0.4166666666666667,0.1166666666666667,121.29484365494777,387.79200059950625,0.4583333333333333,0.10833333333333334,137.41004723862454,410.740256524069,0.5,0.09999999999999998,166.70270120918659,435.7423345581901,0.5,0.04999999999999999,182.86879362451563,459.92873528580276,0.5,0.0,200.49730510623996,487.36869218151014,0.5416666666666666,-0.008333333333333415,230.8549942183857,516.9263231087169,0.5833333333333334,-0.016666666666666607,254.48490145447485,549.1437733146321,0.5833333333333334,-0.06666666666666665,276.40641699415227,592.0187062314344,0.625,-0.07499999999999996,312.50325171894104,626.8226687855354,0.7083333333333334,-0.04166666666666663,344.5106173300974,666.4611226257833,0.7083333333333334,-0.09166666666666667,377.1424617880266,727.3446832916719,0.75,-0.09999999999999998,438.196479385382,774.8180321096482,0.75,-0.15000000000000002,497.5240877102876,835.9878856275315,0.8333333333333334,-0.11666666666666659,600.8654904457659,898.2453506529695,0.06228070175438596,529.8033397401017,LagDrop_LGBM_sheet0,evaluation,P_Power,2022-01-06
24,LagDrop,LGBM,0,drop,282.06018502811213,209.20387756324706,10.772110717770905,9.858626973290558,11.192161222086833,1.601737864340847,-209.20387756324706,188.74429813528832,98.27642634461789,77.80929986627301,87.97363407654325,100.08259718226407,110.11538002657608,119.01649790408639,123.9950843544289,127.60398499996514,129.63765051122434,129.42080519040385,125.80170528244321,121.98937391182811,116.08165727681471,108.21831253950786,99.1266919612353,87.84284871853981,74.96503023018543,59.92024115212249,43.360013003317555,24.291292359980265,0.0,-0.05,19.518835102329223,530.4125758549189,0.0,-0.1,43.959271995091655,558.4534695109645,0.0,-0.15,60.780367539990955,585.190356449473,0.0,-0.2,77.42516254360565,612.4268053214287,0.0,-0.25,104.24226790268587,637.6870515236858,0.0,-0.3,121.29484365494777,669.7806061654342,0.0,-0.35,137.41004723862454,702.5373478458692,0.0,-0.4,166.70270120918664,738.0966685092557,0.08333333333333333,-0.3666666666666667,182.86879362451563,780.0206609333615,0.08333333333333333,-0.4166666666666667,200.4973051062399,825.0884600931236,0.16666666666666666,-0.3833333333333334,230.85499421838577,855.7194026311023,0.20833333333333334,-0.3916666666666666,254.48490145447485,909.577508008702,0.25,-0.4,276.40641699415227,976.0064467346677,0.4583333333333333,-0.24166666666666664,312.503251718941,1043.986618634066,0.5416666666666666,-0.20833333333333337,344.51061733009743,1144.8559790071477,0.5416666666666666,-0.2583333333333334,377.14246178802654,1297.252411792314,0.625,-0.22499999999999998,438.19647938538213,1529.5542077411428,0.625,-0.275,497.5240877102874,1885.6366304215642,0.7083333333333334,-0.24166666666666659,600.8654904457659,2555.1693680590947,0.2741228070175438,991.4448723809113,LagDrop_LGBM_sheet0,evaluation,P_Power,2022-01-07
24,LagDrop,LGBM,0,drop,63.116813708502036,49.48409557341696,2.5148402287253595,2.49275977004603,2.5190277283114906,0.37886749751395493,-12.470189615996219,50.27659441422403,26.138026223843337,8.078779759859895,12.327003787223896,13.139677616391417,13.482994527240749,17.382857954373407,22.27351876252774,23.370567143779752,27.28435583324601,31.39305748375126,32.43985437192468,35.58699307958076,37.565571094386364,39.36152175797006,40.10658557706005,38.659426731727095,35.61829264073527,30.410187960034857,23.68664420859248,14.45460796261771,0.20833333333333334,0.15833333333333333,19.518835102329252,138.68898881382228,0.25,0.15,43.95927199509163,149.6544652224125,0.25,0.1,60.78036753999093,155.69254151553943,0.375,0.175,77.42516254360561,161.57965067414835,0.5416666666666666,0.29166666666666663,104.2422679026859,170.82594945875667,0.5833333333333334,0.2833333333333334,121.2948436549478,183.75249925759428,0.6666666666666666,0.31666666666666665,137.41004723862451,195.3440505595975,0.6666666666666666,0.2666666666666666,166.70270120918659,212.55115103327907,0.6666666666666666,0.21666666666666662,182.86879362451558,220.63768160507652,0.75,0.25,200.4973051062399,229.6651592819353,0.7916666666666666,0.24166666666666659,230.85499421838577,240.27975921766551,0.9166666666666666,0.31666666666666665,254.48490145447485,256.30858253552316,1.0,0.35,276.40641699415227,276.40641699415227,1.0,0.30000000000000004,312.50325171894104,312.50325171894104,1.0,0.25,344.5106173300974,344.5106173300974,1.0,0.19999999999999996,377.14246178802654,377.14246178802654,1.0,0.15000000000000002,438.19647938538213,438.19647938538213,1.0,0.09999999999999998,497.52408771028746,497.52408771028746,1.0,0.050000000000000044,600.8654904457659,600.8654904457659,0.21929824561403505,271.69101497621074,LagDrop_LGBM_sheet0,evaluation,P_Power,2022-01-08
24,LagDrop,LGBM,0,drop,227.84240040372714,187.41032385287448,8.075502352799619,8.555692845173784,8.829593236964204,1.434878814771384,183.23519383473376,104.25887255438211,54.88645312157583,17.864048932396393,31.897542132296895,42.49548513400091,51.66098247304105,58.89528452240571,65.33881559712431,71.28546522490576,74.68496231504264,75.92921491971732,76.40853224598402,75.76071873923696,73.60761129818047,71.72034077957044,67.32783320423147,59.38924150651576,50.02628060435117,41.179115099560335,26.906419328645693,10.46471525273346,0.08333333333333333,0.033333333333333326,19.518835102329234,321.3033356478164,0.08333333333333333,-0.016666666666666677,43.959271995091655,336.05135404857134,0.16666666666666666,0.016666666666666663,60.78036753999094,353.23093595392146,0.16666666666666666,-0.033333333333333354,77.42516254360562,371.53253396338124,0.16666666666666666,-0.08333333333333334,104.24226790268585,391.38106769207747,0.20833333333333334,-0.09166666666666665,121.29484365494777,407.7973894464545,0.20833333333333334,-0.14166666666666664,137.41004723862454,426.05630061813935,0.2916666666666667,-0.10833333333333334,166.70270120918664,434.02928842963837,0.2916666666666667,-0.15833333333333333,182.86879362451558,447.90505993769943,0.3333333333333333,-0.16666666666666669,200.4973051062399,468.9065474755084,0.4166666666666667,-0.13333333333333336,230.8549942183857,487.96083735750335,0.4166666666666667,-0.1833333333333333,254.48490145447485,500.31458851735744,0.4166666666666667,-0.23333333333333334,276.40641699415227,528.4015178525798,0.5416666666666666,-0.15833333333333333,312.503251718941,532.6218914712468,0.5416666666666666,-0.20833333333333337,344.5106173300974,557.3501586408407,0.625,-0.17500000000000004,377.1424617880266,560.303130769158,0.75,-0.09999999999999998,438.19647938538213,540.1946085969363,0.9166666666666666,0.016666666666666607,497.52408771028746,547.6768659618234,1.0,0.050000000000000044,600.8654904457659,600.8654904457659,0.11096491228070175,463.8885738329694,LagDrop_LGBM_sheet0,evaluation,P_Power,2022-01-09
24,LagDrop,LGBM,0,drop,160.0760824167283,139.38280130150443,6.615491187975364,6.934111252368637,6.252592916808919,1.067163348418441,139.38280130150443,75.80011236180367,39.80881973144511,15.671429305734925,27.512302878973966,35.917626254016504,42.89050396639518,47.68946835620833,51.43525322181306,53.295499525758714,53.00957120508435,51.101195779691515,49.81208766279176,50.8201654612159,52.37437293238357,50.20258652264129,45.898399288224006,42.28917209932818,35.72616790125657,26.902016612924587,15.739148585139981,8.08060733787475,0.16666666666666666,0.11666666666666665,19.518835102329206,213.04452296597233,0.20833333333333334,0.10833333333333334,43.95927199509166,229.02847353546895,0.3333333333333333,0.18333333333333332,60.78036753999097,245.82173774776777,0.3333333333333333,0.1333333333333333,77.42516254360565,265.10210637774065,0.3333333333333333,0.08333333333333331,104.24226790268585,280.84263246185935,0.3333333333333333,0.033333333333333326,121.2948436549478,296.87485917310113,0.375,0.025000000000000022,137.41004723862454,311.4793067270051,0.4583333333333333,0.05833333333333329,166.70270120918659,323.9356498044647,0.4583333333333333,0.008333333333333304,182.86879362451563,344.6221586926822,0.4583333333333333,-0.041666666666666685,200.4973051062399,357.5037753798088,0.5,-0.050000000000000044,230.85499421838577,375.47846712996244,0.5,-0.09999999999999998,254.48490145447485,390.07321964699196,0.5416666666666666,-0.10833333333333339,276.4064169941523,397.2719867706358,0.625,-0.07499999999999996,312.50325171894104,406.39627149378197,0.6666666666666666,-0.08333333333333337,344.5106173300974,415.02230024271813,0.8333333333333334,0.033333333333333326,377.14246178802654,430.9708131821614,0.9166666666666666,0.06666666666666665,438.196479385382,462.4799307210555,1.0,0.09999999999999998,497.52408771028746,497.52408771028746,1.0,0.050000000000000044,600.8654904457659,600.8654904457659,0.07675438596491228,360.2283047478543,LagDrop_LGBM_sheet0,evaluation,P_Power,2022-01-10
