n,family,model,sheet,lag_policy,RMSE,MAE,MAPE%,SMAPE%,WMAPE%,MASE,Bias_y_minus_pred,model_id,period,target
2208,LagDrop,LGBM,0,drop,152.48987204994742,120.25434245711693,5.9599694456993335,6.049719138270334,6.036991954999537,0.9480094058328901,45.84842982192522,LagDrop_LGBM_sheet0,calibration_point,P_Power
2208,LagDrop,LGBM,0,drop,120.55148782844896,94.07325076062838,12.615367356813906,12.300917396697896,11.734656121143018,0.7178625724963775,3.2274791236721936,LagDrop_LGBM_sheet0,calibration_point,Q_Power
2208,SFS,LGBM,0,drop,168.95445346303117,134.15032783966075,6.8190800880201285,7.075434754199618,6.734596301313464,1.0575565920450272,75.25731659208608,SFS_LGBM_sheet0,calibration_point,P_Power
2208,SFS,LGBM,0,drop,130.1463036450625,102.19457946457237,13.229104103379488,13.40381227254374,12.747707108719142,0.7798355336555116,31.381380331569257,SFS_LGBM_sheet0,calibration_point,Q_Power
2208,SFS,LGBM,1,drop,168.11894735044694,135.11188123232526,6.955449305285066,7.186910362845361,6.782868072437972,1.0651368726555301,64.30746321380785,SFS_LGBM_sheet1,calibration_point,P_Power
2208,SFS,LGBM,1,drop,129.21586342382656,101.45892232583236,13.214193715248957,13.348379135785782,12.65594155925233,0.7742218153899976,28.83318350042376,SFS_LGBM_sheet1,calibration_point,Q_Power
2208,SFS,LGBM,2,drop,163.68170250508325,129.80208960004651,6.612219261455079,6.851013017506107,6.516306643454883,1.0232778236801632,71.19137958453048,SFS_LGBM_sheet2,calibration_point,P_Power
2208,SFS,LGBM,2,drop,126.47319954463866,99.34756496676003,12.85116093510024,13.050251737768992,12.392571766487311,0.7581102808890854,28.957861986361667,SFS_LGBM_sheet2,calibration_point,Q_Power
2208,SFS_shared,LGBM,0,drop,165.16641097367943,131.04141446829473,6.653144985655264,6.900949362145932,6.57852305997983,1.0330478794467637,74.7101865805235,SFS_shared_LGBM_sheet0,calibration_point,P_Power
2208,SFS_shared,LGBM,0,drop,130.1463036450625,102.19457946457237,13.229104103379488,13.40381227254374,12.747707108719142,0.7798355336555116,31.381380331569257,SFS_shared_LGBM_sheet0,calibration_point,Q_Power
2208,Shared_mutual_lags,LGBM,0,mutual,136.05616514703038,103.49714765405704,5.212577697652471,5.181655575482673,5.195749567012528,0.8159062487735947,5.849768897959309,Shared_mutual_lags_LGBM_sheet0,calibration_point,P_Power
2208,Shared_mutual_lags,LGBM,0,mutual,118.89340983443395,90.91678192502428,11.969997405847772,11.671710278980715,11.340919580272669,0.6937759079024531,-0.07881478981739043,Shared_mutual_lags_LGBM_sheet0,calibration_point,Q_Power
2208,Shared_mutual_lags,LGBM,1,mutual,129.25601115693658,99.84472300570401,5.067252153011215,5.029553694247606,5.012391047329862,0.7871128359954299,3.533644796542103,Shared_mutual_lags_LGBM_sheet1,calibration_point,P_Power
2208,Shared_mutual_lags,LGBM,1,mutual,114.06009819258007,84.59885391774036,10.950260728980235,10.790722929627233,10.552824006194305,0.645564498011918,2.1095146935745874,Shared_mutual_lags_LGBM_sheet1,calibration_point,Q_Power
2208,Shared_mutual_lags,LGBM,2,mutual,135.58147040244836,104.84037075510864,5.254197838218046,5.2507291964600595,5.263181868325968,0.8264953726913695,12.213627454422857,Shared_mutual_lags_LGBM_sheet2,calibration_point,P_Power
2208,Shared_mutual_lags,LGBM,2,mutual,120.30118017832912,88.20695320211652,11.501608333090516,11.19456713970499,11.00289673155203,0.6730975046122238,0.5310069457260237,Shared_mutual_lags_LGBM_sheet2,calibration_point,Q_Power
2208,mi_top_k_nolags,LGBM,0,drop,169.5742919028653,131.8678953804763,6.672681923325746,6.705012637667906,6.620013941022899,1.039563333795274,20.007910322050357,mi_top_k_nolags_LGBM_sheet0,calibration_point,P_Power
2208,mi_top_k_nolags,LGBM,0,drop,187.63454592155307,133.34454124413426,17.104346675829383,16.62669902075524,16.633339705811135,1.017537446956448,2.19202421683576,mi_top_k_nolags_LGBM_sheet0,calibration_point,Q_Power
2208,mutual_lags,LGBM,0,mutual,136.05616514703038,103.49714765405704,5.212577697652471,5.181655575482673,5.195749567012528,0.8159062487735947,5.849768897959309,mutual_lags_LGBM_sheet0,calibration_point,P_Power
2208,mutual_lags,LGBM,0,mutual,118.89340983443395,90.91678192502428,11.969997405847772,11.671710278980715,11.340919580272669,0.6937759079024531,-0.07881478981739043,mutual_lags_LGBM_sheet0,calibration_point,Q_Power
2208,mutual_lags,LGBM,1,mutual,129.25601115693658,99.84472300570401,5.067252153011215,5.029553694247606,5.012391047329862,0.7871128359954299,3.533644796542103,mutual_lags_LGBM_sheet1,calibration_point,P_Power
2208,mutual_lags,LGBM,1,mutual,114.06009819258007,84.59885391774036,10.950260728980235,10.790722929627233,10.552824006194305,0.645564498011918,2.1095146935745874,mutual_lags_LGBM_sheet1,calibration_point,Q_Power
2208,mutual_lags,LGBM,2,mutual,135.58147040244836,104.84037075510864,5.254197838218046,5.2507291964600595,5.263181868325968,0.8264953726913695,12.213627454422857,mutual_lags_LGBM_sheet2,calibration_point,P_Power
2208,mutual_lags,LGBM,2,mutual,120.30118017832912,88.20695320211652,11.501608333090516,11.19456713970499,11.00289673155203,0.6730975046122238,0.5310069457260237,mutual_lags_LGBM_sheet2,calibration_point,Q_Power
2208,own_lags,LGBM,0,own,139.54830031263495,105.12586751483985,5.277500957063688,5.2177029337596,5.277514337378306,0.8287460491162688,-1.9478805188907402,own_lags_LGBM_sheet0,calibration_point,P_Power
2208,own_lags,LGBM,0,own,116.07945047768811,86.4281882875731,11.11013549819604,10.9610960776308,10.781014374731663,0.6595239462723556,8.688769969383124,own_lags_LGBM_sheet0,calibration_point,Q_Power
2208,own_lags,LGBM,1,own,134.7965728454709,104.8247832300619,5.317812852925462,5.285249871337546,5.262399345538161,0.8263724904730976,3.1040331181111838,own_lags_LGBM_sheet1,calibration_point,P_Power
2208,own_lags,LGBM,1,own,114.63223965765197,84.72207773385854,10.88535092246391,10.785784814602025,10.568194891078058,0.6465048053247427,6.4288077769483705,own_lags_LGBM_sheet1,calibration_point,Q_Power
2208,own_lags,LGBM,2,own,134.82351315258796,104.96778012705776,5.292318189762864,5.301737334315405,5.26957805608711,0.827499787837892,13.3722567582805,own_lags_LGBM_sheet2,calibration_point,P_Power
