n,family,model,sheet,lag_policy,RMSE,MAE,MAPE%,SMAPE%,WMAPE%,MASE,Bias_y_minus_pred,CRPS,Pinball_mean,Pinball_0.05,Pinball_0.10,Pinball_0.15,Pinball_0.20,Pinball_0.25,Pinball_0.30,Pinball_0.35,Pinball_0.40,Pinball_0.45,Pinball_0.50,Pinball_0.55,Pinball_0.60,Pinball_0.65,Pinball_0.70,Pinball_0.75,Pinball_0.80,Pinball_0.85,Pinball_0.90,Pinball_0.95,Coverage05,CoverageGap05,Width05,IntervalScore05,Coverage10,CoverageGap10,Width10,IntervalScore10,Coverage15,CoverageGap15,Width15,IntervalScore15,Coverage20,CoverageGap20,Width20,IntervalScore20,Coverage25,CoverageGap25,Width25,IntervalScore25,Coverage30,CoverageGap30,Width30,IntervalScore30,Coverage35,CoverageGap35,Width35,IntervalScore35,Coverage40,CoverageGap40,Width40,IntervalScore40,Coverage45,CoverageGap45,Width45,IntervalScore45,Coverage50,CoverageGap50,Width50,IntervalScore50,Coverage55,CoverageGap55,Width55,IntervalScore55,Coverage60,CoverageGap60,Width60,IntervalScore60,Coverage65,CoverageGap65,Width65,IntervalScore65,Coverage70,CoverageGap70,Width70,IntervalScore70,Coverage75,CoverageGap75,Width75,IntervalScore75,Coverage80,CoverageGap80,Width80,IntervalScore80,Coverage85,CoverageGap85,Width85,IntervalScore85,Coverage90,CoverageGap90,Width90,IntervalScore90,Coverage95,CoverageGap95,Width95,IntervalScore95,CalibrationMAE,MeanIntervalScore,model_id,period,target,horizon
59,LagDrop,LGBM,0,drop,129.691688905335,100.68954623270304,5.629707465909654,5.523591771476708,5.37353236438911,0.7709142900349,1.5986310994159594,74.90140393167415,39.04102299938943,21.20372755765537,30.163269359482832,36.88397945757518,43.06657468351787,47.20375036246547,49.59821359410929,51.32521511175797,51.882294033732904,51.9604390411553,50.60554721019573,49.24395927468626,46.964367513345735,44.27913806156386,40.904117754346494,36.2613724695051,31.56841690015235,26.4251137207361,19.965946075557845,12.273994806857646,0.05084745762711865,0.0008474576271186446,13.808693392386187,213.65845634228157,0.0847457627118644,-0.015254237288135603,21.52501959344751,224.29968932537665,0.1016949152542373,-0.0483050847457627,33.810618141228346,235.2307773063567,0.11864406779661017,-0.08135593220338984,39.63192282077327,246.72994615404403,0.22033898305084745,-0.029661016949152547,63.890672051478305,259.3527253744147,0.2542372881355932,-0.04576271186440678,81.60323943273852,271.5221718995351,0.3050847457627119,-0.044915254237288094,95.6273299495615,286.84866471203185,0.3389830508474576,-0.06101694915254241,107.34348398709083,299.39763618055866,0.3559322033898305,-0.09406779661016951,109.73658917878197,316.6890931495443,0.423728813559322,-0.07627118644067798,120.25956522082652,333.5411399949233,0.4745762711864407,-0.07542372881355935,135.73458398893194,352.05266097998367,0.559322033898305,-0.04067796610169494,163.54440680182077,371.5554949463675,0.6101694915254238,-0.039830508474576254,184.44400667897207,389.82742987922654,0.6779661016949152,-0.02203389830508473,214.07680937214033,425.55703810348086,0.711864406779661,-0.03813559322033899,240.11191936735526,453.8383580236906,0.7627118644067796,-0.03728813559322042,274.3508588719392,503.4143572172649,0.8305084745762712,-0.019491525423728784,331.3552794013498,558.1101359908802,0.847457627118644,-0.05254237288135599,407.1425924396606,657.9996661096491,0.8813559322033898,-0.06864406779661014,484.9171778889767,938.2023148233186,0.04692239072256915,386.2014608691015,LagDrop_LGBM_sheet0,evaluation,P_Power,1
59,LagDrop,LGBM,0,drop,133.6997390455063,110.25182407221138,6.272751053270666,6.238926462397813,6.106611937924184,0.8441264248351139,9.472657697000399,79.38683161138886,41.52888798265814,17.78874908459218,28.61921610394071,36.41723123691327,40.3747909233438,46.67996863608709,50.767936860497024,54.36697822237003,55.644753991048226,55.91073387592297,55.38330800883477,54.290660425562635,52.543725627706216,50.05464622021832,46.613757937696235,42.120937455000494,36.59904768284707,30.07840452694796,22.329999713749217,12.464025137226503,0.01694915254237288,-0.033050847457627125,8.641515548321877,233.02398562878724,0.05084745762711865,-0.04915254237288136,23.152946334864744,244.87898705588003,0.0847457627118644,-0.06525423728813559,25.90057238846793,257.69378130165893,0.1016949152542373,-0.09830508474576272,42.958942284960145,270.1885623594331,0.1694915254237288,-0.0805084745762712,70.03255940494434,283.67433830378366,0.2033898305084746,-0.0966101694915254,82.81048477482818,298.7490939415832,0.22033898305084745,-0.12966101694915252,103.57730344886043,309.87644757848824,0.3220338983050847,-0.0779661016949153,131.80194994466024,323.1583802103439,0.3728813559322034,-0.07711864406779662,139.2563983025641,340.29490010507755,0.3898305084745763,-0.11016949152542371,156.33209812478665,355.98898131250155,0.4576271186440678,-0.09237288135593225,184.03030621429164,363.2699523850249,0.4915254237288136,-0.1084745762711864,189.56920364946885,384.99336065802754,0.5254237288135594,-0.12457627118644066,205.57906886987985,411.01134432935254,0.559322033898305,-0.14067796610169492,215.46969066345906,442.0489776858544,0.5932203389830508,-0.15677966101694918,244.33763495823223,461.64135643872635,0.6271186440677966,-0.17288135593220344,255.83551614230663,507.7475815678175,0.7457627118644068,-0.10423728813559319,328.02304057083313,518.1834933315916,0.8983050847457628,-0.0016949152542372614,388.9103814569314,559.0641534145946,0.9152542372881356,-0.03474576271186436,430.8893768778762,707.1386892020033,0.09232827832292596,382.76980877950155,LagDrop_LGBM_sheet0,evaluation,P_Power,2
59,LagDrop,LGBM,0,drop,134.54705528605567,109.75767879966159,6.248556397402124,6.295553692320313,6.195662758409561,0.8403430762531129,27.697765243609876,76.40492522153976,40.075301811525684,15.605287408000285,23.908716809630832,31.67856368536725,37.53919993236003,42.48696840139508,46.73273096647058,50.51036430758015,53.06366989764095,54.18014353829359,54.827820214772906,54.59168594407886,53.31465245967892,50.115062366421164,46.56493201129488,42.42584666564673,36.94894726497048,30.873454849414387,23.105025459700133,12.957662236270629,0.0,-0.05,8.052537622506179,230.55370529062714,0.0,-0.1,21.545067719890312,241.62949773551708,0.01694915254237288,-0.1330508474576271,28.89836293529038,253.6999704666761,0.03389830508474576,-0.16610169491525426,36.775672292362074,265.9083407006584,0.1016949152542373,-0.1483050847457627,68.09790545349712,273.82297666896363,0.1864406779661017,-0.11355932203389829,80.48685388636022,286.0425859469093,0.22033898305084745,-0.12966101694915252,91.58543240703581,299.9239669790513,0.3559322033898305,-0.04406779661016952,132.9300358417711,309.7455834427807,0.3728813559322034,-0.07711864406779662,147.6899578842733,323.2918456749043,0.4067796610169492,-0.09322033898305082,164.67651433169885,338.42579106449284,0.4745762711864407,-0.07542372881355935,183.59422326949104,352.86725637912286,0.4915254237288136,-0.1084745762711864,191.81452288352418,371.3776128109825,0.5254237288135594,-0.12457627118644066,207.0285145874049,391.33894651058915,0.6271186440677966,-0.07288135593220335,236.8834012574528,408.95740532502833,0.6779661016949152,-0.07203389830508478,261.5634644117033,432.89578981463427,0.711864406779661,-0.08813559322033904,287.1876507533861,466.23043387982625,0.7627118644067796,-0.08728813559322035,330.0499074981965,494.32000159313554,0.8305084745762712,-0.06949152542372883,348.6281834806723,557.5359254067121,0.9322033898305084,-0.017796610169491522,444.7952006425249,604.2028051459511,0.09322033898305083,363.30370741245065,LagDrop_LGBM_sheet0,evaluation,P_Power,3
59,LagDrop,LGBM,0,drop,147.30108873598587,118.00701020414893,6.74434118023362,6.833754203640558,6.699469264445406,0.9035028351446217,40.54411825951326,81.41401954668075,42.69783696402176,16.99369518505688,26.999643057220094,33.887862475967545,39.79413168686878,45.23465910580901,49.18618273491048,52.47968195521199,54.961731189659744,56.69136586491877,57.09810899217779,56.44046339642855,54.836095779867286,52.779275768316595,50.48514787909601,46.994863507149034,40.78789890006499,33.4968126947394,25.704801784050325,16.40648035890033,0.0,-0.05,12.539499016715808,240.4639605808473,0.01694915254237288,-0.08305084745762713,30.878559202873703,251.26029356137906,0.06779661016949153,-0.08220338983050847,43.26714369528736,262.6346153557441,0.11864406779661017,-0.08135593220338984,59.65534265390964,273.9289852546492,0.1694915254237288,-0.0805084745762712,73.28692579753218,286.4932923701818,0.2033898305084746,-0.0966101694915254,80.58557064908061,300.414274626329,0.2711864406779661,-0.07881355932203388,93.61413390144341,315.30672814819366,0.288135593220339,-0.11186440677966103,102.69424115858077,331.0870462290442,0.3050847457627119,-0.14491525423728813,118.05726930516036,348.52335218513736,0.3220338983050847,-0.17796610169491528,130.66248900080336,366.33658853020387,0.4406779661016949,-0.10932203389830514,164.95190537523763,380.0642875187128,0.5084745762711864,-0.09152542372881356,184.36105390835698,397.8803440974839,0.6101694915254238,-0.039830508474576254,221.97348875022865,417.6546300833952,0.6779661016949152,-0.02203389830508473,256.1448093420024,442.5108656516767,0.6779661016949152,-0.07203389830508478,263.8554770156431,476.5806133445002,0.711864406779661,-0.08813559322033904,280.13540283210796,520.6704037070674,0.7288135593220338,-0.12118644067796613,311.6743938943325,574.4642280690497,0.864406779661017,-0.035593220338983045,388.885435681787,618.2510496334232,0.9152542372881356,-0.03474576271186436,475.9522983271052,762.6168862696004,0.08429973238180195,398.27065501140095,LagDrop_LGBM_sheet0,evaluation,P_Power,4
59,LagDrop,LGBM,0,drop,156.239186419163,121.26904490441878,6.935298647598817,7.021977817575925,6.8452270966334225,0.928478110723041,47.95923869697531,84.64241799181484,44.320830840868325,19.654021147318538,29.64761457426833,36.756388859882186,43.20314366532523,48.11854171477187,51.734048459674625,54.60054756519307,55.752964820083356,56.651337059315395,56.912120372299285,56.426286792805065,55.56456779598799,54.23523112480141,51.372444732700004,48.43260166289144,44.18653683440938,36.879303111498906,25.81399231587774,16.15409336739435,0.06779661016949153,0.017796610169491522,20.238139397113628,238.68094532616982,0.1694915254237288,0.0694915254237288,32.009904051986496,251.3425931267239,0.23728813559322035,0.08728813559322035,57.54157036469451,264.9440394919234,0.23728813559322035,0.037288135593220334,66.29215765089906,278.4136230866035,0.3389830508474576,0.08898305084745761,86.32624801465178,296.4073504662493,0.3559322033898305,0.055932203389830515,101.51668504998473,310.2255373022829,0.3559322033898305,0.005932203389830526,112.60013762473821,327.60879717551364,0.4067796610169492,0.006779661016949157,128.9016639028891,342.9210589933952,0.4067796610169492,-0.04322033898305083,130.2241888122567,362.401360281554,0.423728813559322,-0.07627118644067798,146.6131964776414,385.71097549344034,0.4915254237288136,-0.05847457627118646,169.0137645145187,408.03460213719814,0.5423728813559322,-0.057627118644067776,192.36018927318884,431.66738326359115,0.5423728813559322,-0.10762711864406782,209.94897033312165,458.5543100917623,0.576271186440678,-0.12372881355932197,248.184395782959,481.2536270720209,0.6610169491525424,-0.08898305084745761,278.9470584514177,508.9606986850995,0.6949152542372882,-0.10508474576271187,309.52139890464906,548.0470393842725,0.7796610169491526,-0.0703389830508474,341.9263077758318,601.9266863776552,0.8305084745762712,-0.06949152542372883,400.90686835198443,698.5873819775417,0.8983050847457628,-0.051694915254237195,508.22278154949794,835.5724065003509,0.06431757359500445,422.69791664386037,LagDrop_LGBM_sheet0,evaluation,P_Power,5
59,LagDrop,LGBM,0,drop,163.78857013087884,127.75551736591629,7.07883125436546,7.138221927661738,6.99705966270478,0.9781408065994294,46.35808742391269,89.9736093460569,47.03289911071967,23.464659583586773,32.84387979950588,40.37120309709923,46.26676234192275,51.0448135571942,55.011494181215575,58.21354125390245,58.778881126549486,59.26050148262316,59.2535552860304,58.844831496271944,57.98938294008129,56.44522662294009,53.8103963922182,50.34342295411207,45.01535471087674,39.36774643285324,29.939382723460966,17.360047121229474,0.06779661016949153,0.017796610169491522,21.281923444436647,249.34821644197234,0.1694915254237288,0.0694915254237288,38.90388220178328,262.86800694629596,0.23728813559322035,0.08728813559322035,55.87350201752724,277.9180733859133,0.2711864406779661,0.07118644067796609,63.123998228522844,291.9410684442909,0.3050847457627119,0.055084745762711884,81.46777146270485,309.47321629635815,0.3389830508474576,0.03898305084745762,104.12718211963441,327.5612447865826,0.3559322033898305,0.005932203389830526,114.87731722071385,345.0038017853183,0.4067796610169492,0.006779661016949157,135.66912734114976,362.15293769804634,0.423728813559322,-0.026271186440677996,143.41179745364346,382.56687751646723,0.4406779661016949,-0.05932203389830509,156.321160299999,404.1548231361665,0.4915254237288136,-0.05847457627118646,178.25361139292684,426.18180852061164,0.5084745762711864,-0.09152542372881356,186.24242250135006,454.9867626447028,0.5254237288135594,-0.12457627118644066,200.977893783838,487.8643633654826,0.5932203389830508,-0.10677966101694913,231.48136549770146,523.1276311125249,0.6440677966101694,-0.10593220338983056,264.910438591965,561.017177309295,0.6779661016949152,-0.12203389830508482,282.5597797079028,619.2213539255788,0.7288135593220338,-0.12118644067796613,348.5136673095397,665.1281281484097,0.7966101694915254,-0.10338983050847461,376.32542244306484,785.177637486627,0.847457627118644,-0.10254237288135593,503.3827080288992,941.3862562418891,0.07234611953612846,456.68838869434387,LagDrop_LGBM_sheet0,evaluation,P_Power,6
59,LagDrop,LGBM,0,drop,145.22027074822012,115.50757234367433,6.293183986127819,6.264493592482576,6.13033857917257,0.8843662669924425,17.706098968875306,82.32071519037846,42.9950652740911,20.621425774142143,28.743383937443678,36.21834953489446,43.17391967177806,47.707458363032806,51.437320245311355,54.241166612770954,56.0327719210099,56.773632528565784,56.75230145305875,56.165989180472955,54.7785098071781,52.636728663333884,49.28428559700253,43.7818955518025,38.397746909775464,31.69686654361788,23.84384378999618,14.618644122543259,0.05084745762711865,0.0008474576271186446,10.937146739194308,238.7037220037671,0.0847457627118644,-0.015254237288135603,26.96598536507691,250.76021407308485,0.15254237288135594,0.0025423728813559476,42.92498244226114,263.6904537276164,0.2033898305084746,0.0033898305084745783,57.57709708126504,276.9284444744254,0.23728813559322035,-0.012711864406779655,73.99175430312992,290.4122096288341,0.2542372881355932,-0.04576271186440678,88.47811602338558,304.6730237143357,0.288135593220339,-0.061864406779660985,96.72184549633242,320.6255525336138,0.3220338983050847,-0.0779661016949153,127.68952492422271,334.78521501835905,0.3220338983050847,-0.1279661016949153,136.20638728341055,351.65875282429835,0.423728813559322,-0.07627118644067798,169.06850697567893,364.2441396002835,0.4915254237288136,-0.05847457627118646,181.00105189117633,383.16916548425957,0.5084745762711864,-0.09152542372881356,195.28383357917986,404.09899148175185,0.559322033898305,-0.09067796610169498,225.4289870313075,426.95217309146386,0.6440677966101694,-0.055932203389830515,261.4048875428891,446.551343231738,0.6949152542372882,-0.05508474576271183,276.924310970817,478.7545105430802,0.7457627118644068,-0.05423728813559325,297.5720517461707,522.9627043118388,0.847457627118644,-0.0025423728813559476,362.50398446700405,594.5369988918713,0.847457627118644,-0.05254237288135599,401.2757833659973,686.333094660972,0.847457627118644,-0.10254237288135593,426.1731483557132,907.1524967282201,0.05200713648528101,412.99964242230595,LagDrop_LGBM_sheet0,evaluation,P_Power,7
59,LagDrop,LGBM,0,drop,136.51536071819393,109.09083529709905,5.557407123243653,5.537002542295688,5.4192615529988375,0.8352374897788795,16.30131191227033,77.15557944752814,40.48168554373423,16.461329593938448,27.429357469593793,35.087121726109416,41.31256239357925,47.06258452184908,50.81820337786247,53.5755583549043,55.502078336882086,56.242816283098,54.69940109929574,51.728825490621716,49.3989510762508,45.65495350001075,43.2444024046551,39.84306308388234,35.500399227551746,29.61699764137039,22.510187616665114,13.463232132830086,0.11864406779661017,0.06864406779661017,32.45609733306491,230.42744737621558,0.1694915254237288,0.0694915254237288,54.17614456004458,240.10594470215642,0.1694915254237288,0.01949152542372881,59.40359498761493,250.44391591502946,0.1864406779661017,-0.013559322033898313,77.73502268412066,262.01306893434037,0.3898305084745763,0.1398305084745763,115.61633089384122,272.07257230016023,0.4067796610169492,0.10677966101694919,123.79608313885456,284.5030950498428,0.4067796610169492,0.0567796610169492,131.57673258539623,297.66309661928693,0.4915254237288136,0.09152542372881356,150.8517842229394,314.1860473949105,0.4915254237288136,0.04152542372881357,154.78934901897014,329.6333584138148,0.4915254237288136,-0.008474576271186418,161.5440942898315,347.5973425609075,0.559322033898305,0.009322033898304993,200.6391262213674,364.07395859688114,0.5932203389830508,-0.006779661016949157,208.54961477201164,383.90996695760504,0.6440677966101694,-0.0059322033898305815,242.03948340086802,407.1717209236518,0.711864406779661,0.011864406779661052,275.6259446187161,431.6907916903481,0.7457627118644068,-0.004237288135593209,300.08902754789773,462.98295934066124,0.7627118644067796,-0.03728813559322042,317.58865986658566,497.2580639348741,0.8305084745762712,-0.019491525423728784,398.0133308844751,531.436611089862,0.8813559322033898,-0.01864406779661021,461.12419785886664,587.4513850073639,0.9322033898305084,-0.017796610169491522,540.9251383612045,620.4931290009482,0.03933987511150759,374.47970925309784,LagDrop_LGBM_sheet0,evaluation,P_Power,8
59,LagDrop,LGBM,0,drop,140.55209145627143,115.44788685449119,5.186643475892348,5.090104081466358,5.061101562741799,0.8839092940668454,-31.66109866548297,82.91771865122816,43.42237599132602,17.241517538042842,24.996956035985782,34.054680334009646,39.95599620075143,45.44722216550936,49.0667143439157,52.05676354022922,56.5460839658747,59.67392591915308,59.346708037876944,59.477178912139216,57.85522057612189,54.65671066676242,50.342763066409105,45.96250423830239,40.19095664699186,34.80576511006317,27.722584522087104,15.62489201496835,0.0847457627118644,0.0347457627118644,29.265716312210774,250.380494112318,0.13559322033898305,0.035593220338983045,60.51120096950217,263.7891165417991,0.1864406779661017,0.0364406779661017,76.31049805382395,273.37237796849604,0.23728813559322035,0.037288135593220334,100.04437928471773,286.42719625363014,0.3389830508474576,0.08898305084745761,137.9222318881443,293.37753845112974,0.3728813559322034,0.0728813559322034,150.5221081832003,304.1986032361768,0.4067796610169492,0.0567796610169492,169.67500743707484,318.98688894871896,0.4067796610169492,0.006779661016949157,181.19759390076953,331.10656131039536,0.4915254237288136,0.04152542372881357,210.48612397553595,351.3663079826862,0.559322033898305,0.05932203389830504,231.35710373993243,368.36613986099786,0.5932203389830508,0.04322033898305078,254.69497365414142,383.7975393189145,0.6440677966101694,0.04406779661016946,270.3617531370469,400.32411523276124,0.6949152542372882,0.04491525423728815,299.37426172675856,436.3825760904156,0.6949152542372882,-0.005084745762711784,317.10752840377995,454.0015963344718,0.8135593220338984,0.06355932203389836,345.26163012334524,466.4343158141347,0.847457627118644,0.047457627118643986,397.09126855961273,534.3899521112584,0.864406779661017,0.014406779661017,432.70630532003696,582.5541325044624,0.8983050847457628,-0.0016949152542372614,477.8101939824464,640.5431308357546,0.9491525423728814,-0.0008474576271185752,701.7037689044029,886.309809804426,0.038715432649420144,411.90044172173407,LagDrop_LGBM_sheet0,evaluation,P_Power,9
59,LagDrop,LGBM,0,drop,154.05642563241312,120.29606333727945,5.011902882184257,4.920608748943483,4.876776203966994,0.9210286244346159,-28.88596956189325,95.26639795484215,50.006623608277984,19.379983355046182,29.484662228474107,36.74394667476725,44.46159599511853,49.51232402658345,54.546226544751384,58.905775579957925,60.79748685244841,62.491964939472595,62.96243410143113,65.1305943030127,72.27415645538129,68.39425515652435,62.34814728116227,56.8395554027693,53.85347307772479,43.44267546521054,30.96537929015962,17.59121182728598,0.1016949152542373,0.05169491525423729,21.202157104360595,268.1484543510267,0.1864406779661017,0.08644067796610169,72.11932763381489,291.0699212106372,0.22033898305084745,0.07033898305084746,90.18331601513594,305.67014698657107,0.288135593220339,0.08813559322033898,137.48851119571415,331.86639735031645,0.3220338983050847,0.07203389830508472,154.77245638059236,345.39474715690164,0.423728813559322,0.12372881355932203,186.48008531061876,362.96538564574615,0.4406779661016949,0.09067796610169493,200.27310247924973,373.237494982002,0.5084745762711864,0.1084745762711864,230.81037306462392,400.16735695512693,0.5254237288135594,0.07542372881355935,251.89203245973434,410.31118470126154,0.576271186440678,0.07627118644067798,268.66911865953125,426.36253780134524,0.6440677966101694,0.0940677966101694,301.4386845115448,450.6757195432324,0.6949152542372882,0.0949152542372882,349.07434582604037,497.87235833150385,0.7627118644067796,0.1127118644067796,391.5976413136814,511.6043690964595,0.7966101694915254,0.09661016949152545,411.42500645110465,538.400220035752,0.847457627118644,0.09745762711864403,436.74043435230334,562.429806016189,0.8983050847457628,0.09830508474576272,481.969471592427,621.140308716539,0.8983050847457628,0.04830508474576278,543.4065619858488,672.3172855607123,0.9152542372881356,0.015254237288135575,574.2470434953138,739.6518071148522,1.0,0.050000000000000044,721.533419294647,721.533419294647,0.0816235504014273,464.7799432026749,LagDrop_LGBM_sheet0,evaluation,P_Power,10
