configuration,P_RMSE_kW,Q_RMSE_kVAr,fixed_scale_paired_RMSE,P_CRPS,Q_CRPS,paired_normalized_CRPS
S24-T10,125.69654608720326,126.4963173010319,0.6025589606764095,67.10866273231044,66.73440742640672,0.3199593863036676
S24-T30,127.30812477698444,121.24224632627426,0.5953237243838865,67.02731004254497,64.37619510518455,0.3146164815211837
S24-T60,120.10416498700393,116.34334466365993,0.5659048101243958,63.96702136254909,60.33628957391829,0.2978570880595567
S36-T60,118.04449036801546,115.24116118584148,0.5581430728403853,62.690409670970666,60.1755932435744,0.2941830281869022
S48-T60,119.1479951564857,115.13090680658563,0.5607768055366436,63.32834390210936,60.69392125963535,0.2969720574786671
SNaive-24,185.79679638267095,172.03741031185194,0.8581548813768249,96.83976568197906,86.36500783253331,0.44009461373747794
SNaive-168,264.99758085159675,149.89838525220907,1.016230304421315,163.57073181755183,77.4019127498108,0.5943660005893618
