seed,selected_breadth,snapshot,own_design_objective,common_SEARCH48_objective,parameter_vector_duplicate_of,own_design_median,own_design_sample_cv,common_SEARCH48_median,common_SEARCH48_range_over_median
42,24,sx_norm_t60,0.5018987448764175,0.5004674691561015,,0.505924088277251,0.005243286901434522,0.5004674691561015,0.00922013801708095
42,36,sx_norm_s36_t60,0.5067798606901865,0.4992536376395462,,0.5029332068040988,0.004835577881768862,0.4980245034699361,0.004187872246024633
42,48,sx_norm_s48_t60,0.49924980209510095,0.49924980209510095,,0.4962023419400496,0.005146443995244765,0.4962023419400496,0.01023159583924494
17,24,sx_norm_s17_t60,0.505924088277251,0.5017823537823027,,0.505924088277251,0.005243286901434522,0.5004674691561015,0.00922013801708095
17,36,sx_norm_s36_s17_t60,0.5022640969767649,0.4980245034699361,,0.5029332068040988,0.004835577881768862,0.4980245034699361,0.004187872246024633
17,48,sx_norm_s48_s17_t60,0.49417286027788354,0.49417286027788354,,0.4962023419400496,0.005146443995244765,0.4962023419400496,0.01023159583924494
73,24,sx_norm_s73_t60,0.5068901706000276,0.4971679746436243,,0.505924088277251,0.005243286901434522,0.5004674691561015,0.00922013801708095
73,36,sx_norm_s36_s73_t60,0.5029332068040988,0.4971679746436243,sx_norm_s73_t60,0.5029332068040988,0.004835577881768862,0.4980245034699361,0.004187872246024633
73,48,sx_norm_s48_s73_t60,0.4962023419400496,0.4962023419400496,,0.4962023419400496,0.005146443995244765,0.4962023419400496,0.01023159583924494
